species_id,species,base_species,types,bst,bulk_score,random_battle_level,eviolite_bulk_bonus,random_set_item,random_set_eviolite_bonus,score,tier,override_tier,source,notes
cleffa,Cleffa,Cleffa,Fairy,218,133,,0,,0,173,1,,auto-score,nfe
happiny,Happiny,Happiny,Normal,220,170,,0,,0,175,1,,auto-score,nfe
lotad,Lotad,Lotad,Water|Grass,220,120,,0,,0,175,1,,auto-score,nfe
poochyena,Poochyena,Poochyena,Dark,220,100,,0,,0,175,1,,auto-score,nfe
seedot,Seedot,Seedot,Grass,220,120,,0,,0,175,1,,auto-score,nfe
burmy,Burmy,Burmy,Bug,224,130,,0,,0,179,1,,auto-score,nfe
wimpod,Wimpod,Wimpod,Bug|Water,230,95,,0,,0,185,1,,auto-score,nfe
bunnelby,Bunnelby,Bunnelby,Normal,237,112,,0,,0,192,1,,auto-score,nfe
makuhita,Makuhita,Makuhita,Fighting,237,132,,0,,0,192,1,,auto-score,nfe
pawmi,Pawmi,Pawmi,Electric,240,90,,0,,0,195,1,,auto-score,nfe
rolycoly,Rolycoly,Rolycoly,Rock,240,130,,0,,0,195,1,,auto-score,nfe
whismur,Whismur,Whismur,Normal,240,110,,0,,0,195,1,,auto-score,nfe
zigzagoon,Zigzagoon,Zigzagoon,Normal,240,120,,0,,0,195,1,,auto-score,nfe
zigzagoongalar,Zigzagoon-Galar,Zigzagoon,Dark|Normal,240,120,,0,,0,195,1,,auto-score,nfe
toxel,Toxel,Toxel,Electric|Poison,242,110,,0,,0,197,1,,auto-score,nfe
combee,Combee,Combee,Bug|Flying,244,114,,0,,0,199,1,,auto-score,nfe
nickit,Nickit,Nickit,Dark,245,120,,0,,0,200,1,,auto-score,nfe
noibat,Noibat,Noibat,Flying|Dragon,245,115,,0,,0,200,1,,auto-score,nfe
rookidee,Rookidee,Rookidee,Flying,245,108,,0,,0,200,1,,auto-score,nfe
starly,Starly,Starly,Normal|Flying,245,100,,0,,0,200,1,,auto-score,nfe
togepi,Togepi,Togepi,Fairy,245,165,,0,,0,200,1,,auto-score,nfe
wiglett,Wiglett,Wiglett,Water,245,60,,0,,0,200,1,,auto-score,nfe
zubat,Zubat,Zubat,Poison|Flying,245,115,,0,,0,200,1,,auto-score,nfe
bidoof,Bidoof,Bidoof,Normal,250,139,,0,,0,205,1,,auto-score,nfe
fomantis,Fomantis,Fomantis,Grass,250,110,,0,,0,205,1,,auto-score,nfe
gossifleur,Gossifleur,Gossifleur,Grass,250,160,,0,,0,205,1,,auto-score,nfe
hoppip,Hoppip,Hoppip,Grass|Flying,250,130,,0,,0,205,1,,auto-score,nfe
marill,Marill,Marill,Water|Fairy,250,170,,0,,0,205,1,,auto-score,nfe
slugma,Slugma,Slugma,Fire,250,120,,0,,0,205,1,,auto-score,nfe
spinarak,Spinarak,Spinarak,Bug|Poison,250,120,,0,,0,205,1,,auto-score,nfe
swinub,Swinub,Swinub,Ice|Ground,250,120,,0,,0,205,1,,auto-score,nfe
pidgey,Pidgey,Pidgey,Normal|Flying,251,115,,0,,0,206,1,,auto-score,nfe
rattata,Rattata,Rattata,Normal,253,100,,0,,0,208,1,,auto-score,nfe
rattataalola,Rattata-Alola,Rattata,Dark|Normal,253,100,,0,,0,208,1,,auto-score,nfe
yungoos,Yungoos,Yungoos,Normal,253,108,,0,,0,208,1,,auto-score,nfe
lechonk,Lechonk,Lechonk,Normal,254,139,,0,,0,209,1,,auto-score,nfe
charcadet,Charcadet,Charcadet,Fire,255,120,,0,,0,210,1,,auto-score,nfe
flittle,Flittle,Flittle,Psychic,255,90,,0,,0,210,1,,auto-score,nfe
patrat,Patrat,Patrat,Normal,255,123,,0,,0,210,1,,auto-score,nfe
applin,Applin,Applin,Grass|Dragon,260,160,,0,,0,215,1,,auto-score,nfe
skitty,Skitty,Skitty,Normal,260,130,,0,,0,215,1,,auto-score,nfe
smoliv,Smoliv,Smoliv,Grass|Normal,260,137,,0,,0,215,1,,auto-score,nfe
venipede,Venipede,Venipede,Bug|Poison,260,128,,0,,0,215,1,,auto-score,nfe
wynaut,Wynaut,Wynaut,Psychic,260,191,,0,,0,215,1,,auto-score,nfe
hoothoot,Hoothoot,Hoothoot,Normal|Flying,262,146,,0,,0,217,1,,auto-score,nfe
spearow,Spearow,Spearow,Normal|Flying,262,101,,0,,0,217,1,,auto-score,nfe
shinx,Shinx,Shinx,Electric,263,113,,0,,0,218,1,,auto-score,nfe
pidove,Pidove,Pidove,Normal|Flying,264,130,,0,,0,219,1,,auto-score,nfe
diglett,Diglett,Diglett,Ground,265,80,,0,,0,220,1,,auto-score,nfe
diglettalola,Diglett-Alola,Diglett,Ground|Steel,265,85,,0,,0,220,1,,auto-score,nfe
hatenna,Hatenna,Hatenna,Psychic,265,140,,0,,0,220,1,,auto-score,nfe
impidimp,Impidimp,Impidimp,Dark|Fairy,265,115,,0,,0,220,1,,auto-score,nfe
ledyba,Ledyba,Ledyba,Bug|Flying,265,150,,0,,0,220,1,,auto-score,nfe
pikipek,Pikipek,Pikipek,Normal|Flying,265,95,,0,,0,220,1,,auto-score,nfe
nincada,Nincada,Nincada,Bug|Ground,266,151,,0,,0,221,1,,auto-score,nfe
dewpider,Dewpider,Dewpider,Water|Bug,269,162,,0,,0,224,1,,auto-score,nfe
surskit,Surskit,Surskit,Bug|Water,269,124,,0,,0,224,1,,auto-score,nfe
dreepy,Dreepy,Dreepy,Dragon|Ghost,270,88,,0,,0,225,1,,auto-score,nfe
jigglypuff,Jigglypuff,Jigglypuff,Normal|Fairy,270,160,,0,,0,225,1,,auto-score,nfe
milcery,Milcery,Milcery,Fairy,270,146,,0,,0,225,1,,auto-score,nfe
rellor,Rellor,Rellor,Bug,270,159,,0,,0,225,1,,auto-score,nfe
taillow,Taillow,Taillow,Normal|Flying,270,100,,0,,0,225,1,,auto-score,nfe
wingull,Wingull,Wingull,Water|Flying,270,100,,0,,0,225,1,,auto-score,nfe
wooloo,Wooloo,Wooloo,Normal,270,142,,0,,0,225,1,,auto-score,nfe
yamper,Yamper,Yamper,Electric,270,159,,0,,0,225,1,,auto-score,nfe
tadbulb,Tadbulb,Tadbulb,Electric,272,137,,0,,0,227,1,,auto-score,nfe
nidoranm,Nidoran-M,Nidoran-M,Poison,273,126,,0,,0,228,1,,auto-score,nfe
bramblin,Bramblin,Bramblin,Grass|Ghost,275,105,,0,,0,230,1,,auto-score,nfe
cherubi,Cherubi,Cherubi,Grass,275,143,,0,,0,230,1,,auto-score,nfe
lillipup,Lillipup,Lillipup,Normal,275,135,,0,,0,230,1,,auto-score,nfe
litwick,Litwick,Litwick,Ghost|Fire,275,160,,0,,0,230,1,,auto-score,nfe
nidoranf,Nidoran-F,Nidoran-F,Poison,275,147,,0,,0,230,1,,auto-score,nfe
skwovet,Skwovet,Skwovet,Normal,275,160,,0,,0,230,1,,auto-score,nfe
tynamo,Tynamo,Tynamo,Electric,275,115,,0,,0,230,1,,auto-score,nfe
fletchling,Fletchling,Fletchling,Normal|Flying,278,126,,0,,0,233,1,,auto-score,nfe
kirlia,Kirlia,Kirlia,Psychic|Fairy,278,128,,0,,0,233,1,,auto-score,nfe
arrokuda,Arrokuda,Arrokuda,Water,280,111,,0,,0,235,1,,auto-score,nfe
budew,Budew,Budew,Grass|Poison,280,145,,0,,0,235,1,,auto-score,nfe
cottonee,Cottonee,Cottonee,Grass|Fairy,280,150,,0,,0,235,1,,auto-score,nfe
mareep,Mareep,Mareep,Electric,280,140,,0,,0,235,1,,auto-score,nfe
meditite,Meditite,Meditite,Fighting|Psychic,280,140,,0,,0,235,1,,auto-score,nfe
nacli,Nacli,Nacli,Rock,280,165,,0,,0,235,1,,auto-score,nfe
petilil,Petilil,Petilil,Grass,280,145,,0,,0,235,1,,auto-score,nfe
rockruff,Rockruff,Rockruff,Rock,280,125,,0,,0,235,1,,auto-score,nfe
rockruffdusk,Rockruff-Dusk,Rockruff,Rock,280,125,,0,,0,235,1,,auto-score,nfe
roggenrola,Roggenrola,Roggenrola,Rock,280,165,,0,,0,235,1,,auto-score,nfe
slakoth,Slakoth,Slakoth,Normal,280,155,,0,,0,235,1,,auto-score,nfe
wattrel,Wattrel,Wattrel,Electric|Flying,280,115,,0,,0,235,1,,auto-score,nfe
purrloin,Purrloin,Purrloin,Dark,281,115,,0,,0,236,1,,auto-score,nfe
chewtle,Chewtle,Chewtle,Water,284,138,,0,,0,239,1,,auto-score,nfe
chingling,Chingling,Chingling,Psychic,285,145,,0,,0,240,1,,auto-score,nfe
morelull,Morelull,Morelull,Grass|Fairy,285,170,,0,,0,240,1,,auto-score,nfe
paras,Paras,Paras,Bug|Grass,285,145,,0,,0,240,1,,auto-score,nfe
riolu,Riolu,Riolu,Fighting,285,120,,0,,0,240,1,,auto-score,nfe
barboach,Barboach,Barboach,Water|Ground,288,134,,0,,0,243,1,,auto-score,nfe
ekans,Ekans,Ekans,Poison,288,133,,0,,0,243,1,,auto-score,nfe
inkay,Inkay,Inkay,Dark|Psychic,288,152,,0,,0,243,1,,auto-score,nfe
helioptile,Helioptile,Helioptile,Electric|Normal,289,120,,0,,0,244,1,,auto-score,nfe
bonsly,Bonsly,Bonsly,Rock,290,190,,0,,0,245,1,,auto-score,nfe
gothita,Gothita,Gothita,Psychic,290,160,,0,,0,245,1,,auto-score,nfe
greavard,Greavard,Greavard,Ghost,290,165,,0,,0,245,1,,auto-score,nfe
meowth,Meowth,Meowth,Normal,290,115,,0,,0,245,1,,auto-score,nfe
meowthalola,Meowth-Alola,Meowth,Dark,290,115,,0,,0,245,1,,auto-score,nfe
meowthgalar,Meowth-Galar,Meowth,Steel,290,145,,0,,0,245,1,,auto-score,nfe
pineco,Pineco,Pineco,Bug,290,175,,0,,0,245,1,,auto-score,nfe
shroodle,Shroodle,Shroodle,Poison|Normal,290,110,,0,,0,245,1,,auto-score,nfe
solosis,Solosis,Solosis,Psychic,290,135,,0,,0,245,1,,auto-score,nfe
spheal,Spheal,Spheal,Ice|Water,290,170,,0,,0,245,1,,auto-score,nfe
steenee,Steenee,Steenee,Grass,290,148,,0,,0,245,1,,auto-score,nfe
trapinch,Trapinch,Trapinch,Ground,290,135,,0,,0,245,1,,auto-score,nfe
munna,Munna,Munna,Psychic,292,176,,0,,0,247,1,,auto-score,nfe
sandile,Sandile,Sandile,Ground|Dark,292,120,,0,,0,247,1,,auto-score,nfe
foongus,Foongus,Foongus,Grass|Poison,294,169,,0,,0,249,1,,auto-score,nfe
tympole,Tympole,Tympole,Water,294,130,,0,,0,249,1,,auto-score,nfe
blitzle,Blitzle,Blitzle,Electric,295,109,,0,,0,250,1,,auto-score,nfe
duskull,Duskull,Duskull,Ghost,295,200,,0,,0,250,1,,auto-score,nfe
electrike,Electrike,Electrike,Electric,295,120,,0,,0,250,1,,auto-score,nfe
horsea,Horsea,Horsea,Water,295,125,,0,,0,250,1,,auto-score,nfe
shroomish,Shroomish,Shroomish,Grass,295,180,,0,,0,250,1,,auto-score,nfe
shuppet,Shuppet,Shuppet,Ghost,295,112,,0,,0,250,1,,auto-score,nfe
tinkatink,Tinkatink,Tinkatink,Fairy|Steel,297,159,,0,,0,252,1,,auto-score,nfe
vulpix,Vulpix,Vulpix,Fire,299,143,,0,,0,254,1,,auto-score,nfe
vulpixalola,Vulpix-Alola,Vulpix,Ice,299,143,,0,,0,254,1,,auto-score,nfe
bagon,Bagon,Bagon,Dragon,300,135,,0,,0,255,1,,auto-score,nfe
baltoy,Baltoy,Baltoy,Ground|Psychic,300,165,,0,,0,255,1,,auto-score,nfe
beldum,Beldum,Beldum,Steel|Psychic,300,180,,0,,0,255,1,,auto-score,nfe
bellsprout,Bellsprout,Bellsprout,Grass|Poison,300,115,,0,,0,255,1,,auto-score,nfe
croagunk,Croagunk,Croagunk,Poison|Fighting,300,128,,0,,0,255,1,,auto-score,nfe
deino,Deino,Deino,Dark|Dragon,300,152,,0,,0,255,1,,auto-score,nfe
dratini,Dratini,Dratini,Dragon,300,136,,0,,0,255,1,,auto-score,nfe
geodude,Geodude,Geodude,Rock|Ground,300,170,,0,,0,255,1,,auto-score,nfe
geodudealola,Geodude-Alola,Geodude,Rock|Electric,300,170,,0,,0,255,1,,auto-score,nfe
gible,Gible,Gible,Dragon|Ground,300,148,,0,,0,255,1,,auto-score,nfe
gimmighoul,Gimmighoul,Gimmighoul,Ghost,300,185,,0,,0,255,1,,auto-score,nfe
gimmighoulroaming,Gimmighoul-Roaming,Gimmighoul,Ghost,300,115,,0,,0,255,1,,auto-score,nfe
goomy,Goomy,Goomy,Dragon,300,155,,0,,0,255,1,,auto-score,nfe
grubbin,Grubbin,Grubbin,Bug,300,137,,0,,0,255,1,,auto-score,nfe
jangmoo,Jangmo-o,Jangmo-o,Dragon,300,155,,0,,0,255,1,,auto-score,nfe
klink,Klink,Klink,Steel,300,170,,0,,0,255,1,,auto-score,nfe
larvitar,Larvitar,Larvitar,Rock|Ground,300,150,,0,,0,255,1,,auto-score,nfe
minccino,Minccino,Minccino,Normal,300,135,,0,,0,255,1,,auto-score,nfe
poliwag,Poliwag,Poliwag,Water,300,120,,0,,0,255,1,,auto-score,nfe
remoraid,Remoraid,Remoraid,Water,300,105,,0,,0,255,1,,auto-score,nfe
sandshrew,Sandshrew,Sandshrew,Ground,300,165,,0,,0,255,1,,auto-score,nfe
sandshrewalola,Sandshrew-Alola,Sandshrew,Ice|Steel,300,175,,0,,0,255,1,,auto-score,nfe
snorunt,Snorunt,Snorunt,Ice,300,150,,0,,0,255,1,,auto-score,nfe
snubbull,Snubbull,Snubbull,Fairy,300,150,,0,,0,255,1,,auto-score,nfe
varoom,Varoom,Varoom,Steel|Poison,300,153,,0,,0,255,1,,auto-score,nfe
bronzor,Bronzor,Bronzor,Steel|Psychic,300,229,,5,,0,260,2,,auto-score,nfe|eviolite-bulk+5
gulpin,Gulpin,Gulpin,Poison,302,176,,0,,0,257,2,,auto-score,nfe
flabebe,Flabébé,Flabébé,Fairy,303,162,,0,,0,258,2,,auto-score,nfe
golett,Golett,Golett,Ground|Ghost,303,159,,0,,0,258,2,,auto-score,nfe
yamask,Yamask,Yamask,Ghost,303,188,,0,,0,258,2,,auto-score,nfe
yamaskgalar,Yamask-Galar,Yamask,Ground|Ghost,303,188,,0,,0,258,2,,auto-score,nfe
bergmite,Bergmite,Bergmite,Ice,304,175,,0,,0,259,2,,auto-score,nfe
capsakid,Capsakid,Capsakid,Grass,304,130,,0,,0,259,2,,auto-score,nfe
cutiefly,Cutiefly,Cutiefly,Bug|Fairy,304,120,,0,,0,259,2,,auto-score,nfe
carvanha,Carvanha,Carvanha,Water|Dark,305,85,,0,,0,260,2,,auto-score,nfe
cubchoo,Cubchoo,Cubchoo,Ice,305,135,,0,,0,260,2,,auto-score,nfe
ducklett,Ducklett,Ducklett,Water|Flying,305,162,,0,,0,260,2,,auto-score,nfe
ferroseed,Ferroseed,Ferroseed,Grass|Steel,305,221,,1,,0,261,2,,auto-score,nfe|eviolite-bulk+1
machop,Machop,Machop,Fighting,305,155,,0,,0,260,2,,auto-score,nfe
mankey,Mankey,Mankey,Fighting,305,120,,0,,0,260,2,,auto-score,nfe
mareanie,Mareanie,Mareanie,Poison|Water,305,164,,0,,0,260,2,,auto-score,nfe
numel,Numel,Numel,Fire|Ground,305,145,,0,,0,260,2,,auto-score,nfe
shellder,Shellder,Shellder,Water,305,155,,0,,0,260,2,,auto-score,nfe
shelmet,Shelmet,Shelmet,Bug,305,200,,0,,0,260,2,,auto-score,nfe
sizzlipede,Sizzlipede,Sizzlipede,Fire|Bug,305,145,,0,,0,260,2,,auto-score,nfe
smoochum,Smoochum,Smoochum,Ice|Psychic,305,125,,0,,0,260,2,,auto-score,nfe
tandemaus,Tandemaus,Tandemaus,Normal,305,140,,0,,0,260,2,,auto-score,nfe
timburr,Timburr,Timburr,Fighting,305,165,,0,,0,260,2,,auto-score,nfe
vanillite,Vanillite,Vanillite,Ice,305,146,,0,,0,260,2,,auto-score,nfe
venonat,Venonat,Venonat,Bug|Poison,305,165,,0,,0,260,2,,auto-score,nfe
binacle,Binacle,Binacle,Rock|Water,306,165,,0,,0,261,2,,auto-score,nfe
fennekin,Fennekin,Fennekin,Fire,307,140,,0,,0,262,2,,auto-score,nfe
corphish,Corphish,Corphish,Water,308,143,,0,,0,263,2,,auto-score,nfe
oshawott,Oshawott,Oshawott,Water,308,145,,0,,0,263,2,,auto-score,nfe
poltchageist,Poltchageist,Poltchageist,Grass|Ghost,308,139,,0,,0,263,2,,auto-score,nfe
poltchageistartisan,Poltchageist-Artisan,Poltchageist,Grass|Ghost,308,139,,0,,0,263,2,,auto-score,nfe
sinistea,Sinistea,Sinistea,Ghost,308,139,,0,,0,263,2,,auto-score,nfe
sinisteaantique,Sinistea-Antique,Sinistea,Ghost,308,139,,0,,0,263,2,,auto-score,nfe
snivy,Snivy,Snivy,Grass,308,155,,0,,0,263,2,,auto-score,nfe
tepig,Tepig,Tepig,Fire,308,155,,0,,0,263,2,,auto-score,nfe
charmander,Charmander,Charmander,Fire,309,132,,0,,0,264,2,,auto-score,nfe
chimchar,Chimchar,Chimchar,Fire,309,132,,0,,0,264,2,,auto-score,nfe
cyndaquil,Cyndaquil,Cyndaquil,Fire,309,132,,0,,0,264,2,,auto-score,nfe
phantump,Phantump,Phantump,Ghost|Grass,309,151,,0,,0,264,2,,auto-score,nfe
abra,Abra,Abra,Psychic,310,95,,0,,0,265,2,,auto-score,nfe
clobbopus,Clobbopus,Clobbopus,Fighting,310,160,,0,,0,265,2,,auto-score,nfe
doduo,Doduo,Doduo,Normal|Flying,310,115,,0,,0,265,2,,auto-score,nfe
fuecoco,Fuecoco,Fuecoco,Fire,310,166,,0,,0,265,2,,auto-score,nfe
gastly,Gastly,Gastly,Ghost|Poison,310,95,,0,,0,265,2,,auto-score,nfe
glameow,Glameow,Glameow,Normal,310,128,,0,,0,265,2,,auto-score,nfe
grookey,Grookey,Grookey,Grass,310,140,,0,,0,265,2,,auto-score,nfe
mimejr,Mime Jr.,Mime Jr.,Psychic|Fairy,310,155,,0,,0,265,2,,auto-score,nfe
mudkip,Mudkip,Mudkip,Water,310,150,,0,,0,265,2,,auto-score,nfe
quaxly,Quaxly,Quaxly,Water,310,145,,0,,0,265,2,,auto-score,nfe
scorbunny,Scorbunny,Scorbunny,Fire,310,130,,0,,0,265,2,,auto-score,nfe
sewaddle,Sewaddle,Sewaddle,Bug|Grass,310,175,,0,,0,265,2,,auto-score,nfe
sobble,Sobble,Sobble,Water,310,130,,0,,0,265,2,,auto-score,nfe
sprigatito,Sprigatito,Sprigatito,Grass,310,139,,0,,0,265,2,,auto-score,nfe
swablu,Swablu,Swablu,Normal|Flying,310,180,,0,,0,265,2,,auto-score,nfe
torchic,Torchic,Torchic,Fire,310,135,,0,,0,265,2,,auto-score,nfe
treecko,Treecko,Treecko,Grass,310,130,,0,,0,265,2,,auto-score,nfe
fidough,Fidough,Fidough,Fairy,312,162,,0,,0,267,2,,auto-score,nfe
chespin,Chespin,Chespin,Grass,313,166,,0,,0,268,2,,auto-score,nfe
froakie,Froakie,Froakie,Water,314,125,,0,,0,269,2,,auto-score,nfe
piplup,Piplup,Piplup,Water,314,162,,0,,0,269,2,,auto-score,nfe
squirtle,Squirtle,Squirtle,Water,314,173,,0,,0,269,2,,auto-score,nfe
totodile,Totodile,Totodile,Water,314,162,,0,,0,269,2,,auto-score,nfe
darumaka,Darumaka,Darumaka,Fire,315,160,,0,,0,270,2,,auto-score,nfe
darumakagalar,Darumaka-Galar,Darumaka,Ice,315,160,,0,,0,270,2,,auto-score,nfe
finizen,Finizen,Finizen,Water,315,150,,0,,0,270,2,,auto-score,nfe
karrablast,Karrablast,Karrablast,Bug,315,140,,0,,0,270,2,,auto-score,nfe
silicobra,Silicobra,Silicobra,Ground,315,177,,0,,0,270,2,,auto-score,nfe
slowpoke,Slowpoke,Slowpoke,Water|Psychic,315,195,,0,,0,270,2,,auto-score,nfe
slowpokegalar,Slowpoke-Galar,Slowpoke,Psychic,315,195,,0,,0,270,2,,auto-score,nfe
panpour,Panpour,Panpour,Water,316,146,,0,,0,271,2,,auto-score,nfe
pansage,Pansage,Pansage,Grass,316,146,,0,,0,271,2,,auto-score,nfe
pansear,Pansear,Pansear,Fire,316,146,,0,,0,271,2,,auto-score,nfe
bulbasaur,Bulbasaur,Bulbasaur,Grass|Poison,318,159,,0,,0,273,2,,auto-score,nfe
chikorita,Chikorita,Chikorita,Grass,318,175,,0,,0,273,2,,auto-score,nfe
turtwig,Turtwig,Turtwig,Grass,318,174,,0,,0,273,2,,auto-score,nfe
joltik,Joltik,Joltik,Bug|Electric,319,150,,0,,0,274,2,,auto-score,nfe
axew,Axew,Axew,Dragon,320,146,,0,,0,275,2,,auto-score,nfe
cubone,Cubone,Cubone,Ground,320,195,,0,,0,275,2,,auto-score,nfe
frigibax,Frigibax,Frigibax,Dragon|Ice,320,155,,0,,0,275,2,,auto-score,nfe
goldeen,Goldeen,Goldeen,Water,320,155,,0,,0,275,2,,auto-score,nfe
litten,Litten,Litten,Fire,320,125,,0,,0,275,2,,auto-score,nfe
natu,Natu,Natu,Psychic|Flying,320,130,,0,,0,275,2,,auto-score,nfe
oddish,Oddish,Oddish,Grass|Poison,320,165,,0,,0,275,2,,auto-score,nfe
pikachu,Pikachu,Pikachu,Electric,320,125,93,0,Light Ball,0,296,2,,showdown-randbats+auto-score,nfe
popplio,Popplio,Popplio,Water,320,160,,0,,0,275,2,,auto-score,nfe
psyduck,Psyduck,Psyduck,Water,320,148,,0,,0,275,2,,auto-score,nfe
rowlet,Rowlet,Rowlet,Grass|Flying,320,173,,0,,0,275,2,,auto-score,nfe
salandit,Salandit,Salandit,Poison|Fire,320,128,,0,,0,275,2,,auto-score,nfe
sandygast,Sandygast,Sandygast,Ghost|Ground,320,180,,0,,0,275,2,,auto-score,nfe
skrelp,Skrelp,Skrelp,Poison|Water,320,170,,0,,0,275,2,,auto-score,nfe
clefairy,Clefairy,Clefairy,Fairy,323,183,,0,,0,278,2,,auto-score,nfe
woobat,Woobat,Woobat,Psychic|Flying,323,151,,0,,0,278,2,,auto-score,nfe
dwebble,Dwebble,Dwebble,Bug|Rock,325,170,,0,,0,280,2,,auto-score,nfe
eevee,Eevee,Eevee,Normal,325,170,,0,,0,280,2,,auto-score,nfe
exeggcute,Exeggcute,Exeggcute,Grass|Psychic,325,185,,0,,0,280,2,,auto-score,nfe
grimer,Grimer,Grimer,Poison,325,180,,0,,0,280,2,,auto-score,nfe
grimeralola,Grimer-Alola,Grimer,Poison|Dark,325,180,,0,,0,280,2,,auto-score,nfe
honedge,Honedge,Honedge,Steel|Ghost,325,182,,0,,0,280,2,,auto-score,nfe
krabby,Krabby,Krabby,Water,325,145,,0,,0,280,2,,auto-score,nfe
magnemite,Magnemite,Magnemite,Electric|Steel,325,150,,0,,0,280,2,,auto-score,nfe
seel,Seel,Seel,Water,325,190,,0,,0,280,2,,auto-score,nfe
shellos,Shellos,Shellos,Water,325,186,,0,,0,280,2,,auto-score,nfe
drilbur,Drilbur,Drilbur,Ground,328,145,,0,,0,283,2,,auto-score,nfe
drowzee,Drowzee,Drowzee,Psychic,328,195,,0,,0,283,2,,auto-score,nfe
stunky,Stunky,Stunky,Poison|Dark,329,151,,0,,0,284,2,,auto-score,nfe
trubbish,Trubbish,Trubbish,Poison,329,174,,0,,0,284,2,,auto-score,nfe
aron,Aron,Aron,Steel|Rock,330,190,,0,,0,285,2,,auto-score,nfe
buizel,Buizel,Buizel,Water,330,120,,0,,0,285,2,,auto-score,nfe
chinchou,Chinchou,Chinchou,Water|Electric,330,169,,0,,0,285,2,,auto-score,nfe
clauncher,Clauncher,Clauncher,Water,330,175,,0,,0,285,2,,auto-score,nfe
cufant,Cufant,Cufant,Steel,330,170,,0,,0,285,2,,auto-score,nfe
finneon,Finneon,Finneon,Water,330,166,,0,,0,285,2,,auto-score,nfe
hippopotas,Hippopotas,Hippopotas,Ground,330,188,,0,,0,285,2,,auto-score,nfe
houndour,Houndour,Houndour,Dark|Fire,330,125,,0,,0,285,2,,auto-score,nfe
phanpy,Phanpy,Phanpy,Ground,330,190,,0,,0,285,2,,auto-score,nfe
skorupi,Skorupi,Skorupi,Poison|Bug,330,185,,0,,0,285,2,,auto-score,nfe
spoink,Spoink,Spoink,Psychic,330,175,,0,,0,285,2,,auto-score,nfe
teddiursa,Teddiursa,Teddiursa,Normal,330,160,,0,,0,285,2,,auto-score,nfe
voltorb,Voltorb,Voltorb,Electric,330,145,,0,,0,285,2,,auto-score,nfe
voltorbhisui,Voltorb-Hisui,Voltorb,Electric|Grass,330,145,,0,,0,285,2,,auto-score,nfe
zorua,Zorua,Zorua,Dark,330,120,,0,,0,285,2,,auto-score,nfe
zoruahisui,Zorua-Hisui,Zorua,Normal|Ghost,330,115,,0,,0,285,2,,auto-score,nfe
cetoddle,Cetoddle,Cetoddle,Ice,334,193,,0,,0,289,2,,auto-score,nfe
snover,Snover,Snover,Grass|Ice,334,170,,0,,0,289,2,,auto-score,nfe
