item_id,item_type,item_name,item_cost
fightiniumz,item,Fightinium Z,500
figyberry,item,Figy Berry,20
firememory,item,Fire Memory,500
firestone,item,Fire Stone,500
firiumz,item,Firium Z,500
fistplate,item,Fist Plate,500
flameorb,item,Flame Orb,500
flameplate,item,Flame Plate,500
floatstone,item,Float Stone,500
flyingmemory,item,Flying Memory,500
flyiniumz,item,Flyinium Z,500
focusband,item,Focus Band,600
focussash,item,Focus Sash,800
friendball,item,Friend Ball,500
fullincense,item,Full Incense,500
galladite,item,Galladite,500
ganlonberry,item,Ganlon Berry,30
garchompite,item,Garchompite,500
gardevoirite,item,Gardevoirite,500
gengarite,item,Gengarite,500
ghostiumz,item,Ghostium Z,500
ghostmemory,item,Ghost Memory,500
glalitite,item,Glalitite,500
goldberry,item,Gold Berry,10
goldbottlecap,item,Gold Bottle Cap,300
grassiumz,item,Grassium Z,500
grassmemory,item,Grass Memory,500
grassyseed,item,Grassy Seed,500
greatball,item,Great Ball,500
grepaberry,item,Grepa Berry,5
gripclaw,item,Grip Claw,500
griseousorb,item,Griseous Orb,500
groundiumz,item,Groundium Z,500
groundmemory,item,Ground Memory,500
gyaradosite,item,Gyaradosite,500
habanberry,item,Haban Berry,10
hardstone,item,Hard Stone,500
healball,item,Heal Ball,500
heatrock,item,Heat Rock,500
heavyball,item,Heavy Ball,500
helixfossil,item,Helix Fossil,500
heracronite,item,Heracronite,500
hondewberry,item,Hondew Berry,5
houndoominite,item,Houndoominite,500
iapapaberry,item,Iapapa Berry,20
iceberry,item,Ice Berry,10
icememory,item,Ice Memory,500
icestone,item,Ice Stone,500
icicleplate,item,Icicle Plate,500
iciumz,item,Icium Z,500
icyrock,item,Icy Rock,500
inciniumz,item,Incinium Z,500
insectplate,item,Insect Plate,500
ironball,item,Iron Ball,500
ironplate,item,Iron Plate,500
jabocaberry,item,Jaboca Berry,30
jawfossil,item,Jaw Fossil,500
kangaskhanite,item,Kangaskhanite,500
kasibberry,item,Kasib Berry,10
kebiaberry,item,Kebia Berry,10
keeberry,item,Kee Berry,30
kelpsyberry,item,Kelpsy Berry,5
kingsrock,item,King's Rock,500
kommoniumz,item,Kommonium Z,500
laggingtail,item,Lagging Tail,500
lansatberry,item,Lansat Berry,30
latiasite,item,Latiasite,500
latiosite,item,Latiosite,500
laxincense,item,Lax Incense,500
leafstone,item,Leaf Stone,500
leftovers,item,Leftovers,800
leppaberry,item,Leppa Berry,20
levelball,item,Level Ball,500
liechiberry,item,Liechi Berry,30
lifeorb,item,Life Orb,900
lightball,item,Light Ball,500
lightclay,item,Light Clay,500
lopunnite,item,Lopunnite,500
loveball,item,Love Ball,500
lucarionite,item,Lucarionite,500
luckypunch,item,Lucky Punch,500
lumberry,item,Lum Berry,30
luminousmoss,item,Luminous Moss,500
lunaliumz,item,Lunalium Z,500
lureball,item,Lure Ball,500
lustrousorb,item,Lustrous Orb,500
luxuryball,item,Luxury Ball,500
lycaniumz,item,Lycanium Z,500
magmarizer,item,Magmarizer,500
magnet,item,Magnet,500
magoberry,item,Mago Berry,20
manectite,item,Manectite,500
marangaberry,item,Maranga Berry,30
marshadiumz,item,Marshadium Z,500
masterball,item,Master Ball,500
mawilite,item,Mawilite,500
meadowplate,item,Meadow Plate,500
medichamite,item,Medichamite,500
mentalherb,item,Mental Herb,500
metagrossite,item,Metagrossite,500
metalcoat,item,Metal Coat,500
metalpowder,item,Metal Powder,500
metronome,item,Metronome,500
mewniumz,item,Mewnium Z,500
mewtwonitex,item,Mewtwonite X,500
mewtwonitey,item,Mewtwonite Y,500
micleberry,item,Micle Berry,30
mimikiumz,item,Mimikium Z,500
mindplate,item,Mind Plate,500
mintberry,item,Mint Berry,10
miracleberry,item,Miracle Berry,10
miracleseed,item,Miracle Seed,500
mistyseed,item,Misty Seed,500
moonball,item,Moon Ball,500
moonstone,item,Moon Stone,500
muscleband,item,Muscle Band,500
mysteryberry,item,Mystery Berry,10
mysticwater,item,Mystic Water,500
nestball,item,Nest Ball,500
netball,item,Net Ball,500
nevermeltice,item,Never-Melt Ice,500
normalgem,item,Normal Gem,500
normaliumz,item,Normalium Z,500
occaberry,item,Occa Berry,10
oddincense,item,Odd Incense,500
oldamber,item,Old Amber,500
oranberry,item,Oran Berry,10
ovalstone,item,Oval Stone,500
passhoberry,item,Passho Berry,10
payapaberry,item,Payapa Berry,10
pechaberry,item,Pecha Berry,10
persimberry,item,Persim Berry,20
petayaberry,item,Petaya Berry,30
pidgeotite,item,Pidgeotite,500
pikaniumz,item,Pikanium Z,500
pikashuniumz,item,Pikashunium Z,500
pinapberry,item,Pinap Berry,10
pinkbow,item,Pink Bow,500
pinsirite,item,Pinsirite,500
pixieplate,item,Pixie Plate,500
plumefossil,item,Plume Fossil,500
poisonbarb,item,Poison Barb,500
poisoniumz,item,Poisonium Z,500
poisonmemory,item,Poison Memory,500
pokeball,item,Poke Ball,500
polkadotbow,item,Polkadot Bow,500
pomegberry,item,Pomeg Berry,5
poweranklet,item,Power Anklet,500
powerband,item,Power Band,500
powerbelt,item,Power Belt,500
powerbracer,item,Power Bracer,500
powerherb,item,Power Herb,500
powerlens,item,Power Lens,500
powerweight,item,Power Weight,500
premierball,item,Premier Ball,500
prettyfeather,item,Pretty Feather,500
primariumz,item,Primarium Z,500
prismscale,item,Prism Scale,500
protectivepads,item,Protective Pads,500
protector,item,Protector,500
przcureberry,item,PRZ Cure Berry,10
psncureberry,item,PSN Cure Berry,10
psychicmemory,item,Psychic Memory,500
psychicseed,item,Psychic Seed,500
psychiumz,item,Psychium Z,500
qualotberry,item,Qualot Berry,5
quickball,item,Quick Ball,500
quickclaw,item,Quick Claw,500
quickpowder,item,Quick Powder,500
rarebone,item,Rare Bone,500
rawstberry,item,Rawst Berry,10
razorclaw,item,Razor Claw,500
razorfang,item,Razor Fang,500
reapercloth,item,Reaper Cloth,500
redcard,item,Red Card,500
redorb,item,Red Orb,500
repeatball,item,Repeat Ball,500
rindoberry,item,Rindo Berry,10
ringtarget,item,Ring Target,500
rockincense,item,Rock Incense,500
rockiumz,item,Rockium Z,500
rockmemory,item,Rock Memory,500
rockyhelmet,item,Rocky Helmet,800
rootfossil,item,Root Fossil,500
roseincense,item,Rose Incense,500
roseliberry,item,Roseli Berry,10
rowapberry,item,Rowap Berry,30
sablenite,item,Sablenite,500
sachet,item,Sachet,500
safetygoggles,item,Safety Goggles,500
sailfossil,item,Sail Fossil,500
salacberry,item,Salac Berry,30
salamencite,item,Salamencite,500
sceptilite,item,Sceptilite,500
scizorite,item,Scizorite,500
scopelens,item,Scope Lens,500
seaincense,item,Sea Incense,500
sharpbeak,item,Sharp Beak,500
sharpedonite,item,Sharpedonite,500
shedshell,item,Shed Shell,500
shellbell,item,Shell Bell,500
shinystone,item,Shiny Stone,500
shockdrive,item,Shock Drive,500
shucaberry,item,Shuca Berry,10
silkscarf,item,Silk Scarf,500
silverpowder,item,Silver Powder,500
sitrusberry,item,Sitrus Berry,20
skullfossil,item,Skull Fossil,500
skyplate,item,Sky Plate,500
slowbronite,item,Slowbronite,500
smoothrock,item,Smooth Rock,500
snorliumz,item,Snorlium Z,500
snowball,item,Snowball,500
softsand,item,Soft Sand,500
solganiumz,item,Solganium Z,500
souldew,item,Soul Dew,500
spelltag,item,Spell Tag,500
splashplate,item,Splash Plate,500
spookyplate,item,Spooky Plate,500
starfberry,item,Starf Berry,30
steeliumz,item,Steelium Z,500
steelixite,item,Steelixite,500
steelmemory,item,Steel Memory,500
stick,item,Stick,500
stickybarb,item,Sticky Barb,500
stoneplate,item,Stone Plate,500
sunstone,item,Sun Stone,500
swampertite,item,Swampertite,500
tamatoberry,item,Tamato Berry,5
tangaberry,item,Tanga Berry,10
tapuniumz,item,Tapunium Z,500
terrainextender,item,Terrain Extender,500
thickclub,item,Thick Club,500
thunderstone,item,Thunder Stone,500
timerball,item,Timer Ball,500
toxicorb,item,Toxic Orb,500
toxicplate,item,Toxic Plate,500
twistedspoon,item,Twisted Spoon,500
tyranitarite,item,Tyranitarite,500
ultraball,item,Ultra Ball,500
ultranecroziumz,item,Ultranecrozium Z,500
upgrade,item,Up-Grade,500
venusaurite,item,Venusaurite,500
wacanberry,item,Wacan Berry,10
wateriumz,item,Waterium Z,500
watermemory,item,Water Memory,500
waterstone,item,Water Stone,500
waveincense,item,Wave Incense,500
weaknesspolicy,item,Weakness Policy,1000
whippeddream,item,Whipped Dream,500
whiteherb,item,White Herb,500
widelens,item,Wide Lens,500
wikiberry,item,Wiki Berry,20
wiseglasses,item,Wise Glasses,500
yacheberry,item,Yache Berry,10
zapplate,item,Zap Plate,500
zoomlens,item,Zoom Lens,500
adjust_stats,service,调整能力值,1000
exchange_1,service,交换宝可梦第1只,0
exchange_2,service,交换宝可梦第2只,100
exchange_3,service,交换宝可梦第3只,200
restore_hp_1,service,恢复HP 1只,100
restore_hp_2,service,恢复HP 2只,200
restore_hp_3,service,恢复HP 3只,300
restore_pp_1,service,恢复PP 1只,0
restore_pp_2,service,恢复PP 2只,100
restore_pp_3,service,恢复PP 3只,200
restore_status_1,service,恢复异常 1只,0
restore_status_2,service,恢复异常 2只,0
restore_status_3,service,恢复异常 3只,100
10000000voltthunderbolt,skill,"10,000,000 Volt Thunderbolt",800
absorb,skill,Absorb,300
accelerock,skill,Accelerock,400
acid,skill,Acid,400
acidarmor,skill,Acid Armor,300
aciddownpour,skill,Acid Downpour,300
acidspray,skill,Acid Spray,400
acrobatics,skill,Acrobatics,400
acupressure,skill,Acupressure,300
aerialace,skill,Aerial Ace,400
aeroblast,skill,Aeroblast,650
afteryou,skill,After You,300
agility,skill,Agility,300
aircutter,skill,Air Cutter,400
airslash,skill,Air Slash,500
alloutpummeling,skill,All-Out Pummeling,300
allyswitch,skill,Ally Switch,300
amnesia,skill,Amnesia,300
anchorshot,skill,Anchor Shot,500
ancientpower,skill,Ancient Power,400
aquajet,skill,Aqua Jet,400
aquaring,skill,Aqua Ring,300
aquatail,skill,Aqua Tail,500
armthrust,skill,Arm Thrust,300
aromatherapy,skill,Aromatherapy,300
aromaticmist,skill,Aromatic Mist,300
assist,skill,Assist,300
assurance,skill,Assurance,400
astonish,skill,Astonish,300
attackorder,skill,Attack Order,500
attract,skill,Attract,300
aurasphere,skill,Aura Sphere,500
aurorabeam,skill,Aurora Beam,500
auroraveil,skill,Aurora Veil,300
autotomize,skill,Autotomize,300
avalanche,skill,Avalanche,400
babydolleyes,skill,Baby-Doll Eyes,300
banefulbunker,skill,Baneful Bunker,300
barrage,skill,Barrage,300
barrier,skill,Barrier,300
batonpass,skill,Baton Pass,300
beakblast,skill,Beak Blast,650
beatup,skill,Beat Up,300
belch,skill,Belch,800
bellydrum,skill,Belly Drum,300
bestow,skill,Bestow,300
bide,skill,Bide,300
bind,skill,Bind,300
bite,skill,Bite,400
blackholeeclipse,skill,Black Hole Eclipse,300
blastburn,skill,Blast Burn,800
blazekick,skill,Blaze Kick,500
blizzard,skill,Blizzard,650
block,skill,Block,300
bloomdoom,skill,Bloom Doom,300
blueflare,skill,Blue Flare,800
bodyslam,skill,Body Slam,500
boltstrike,skill,Bolt Strike,800
boneclub,skill,Bone Club,500
bonemerang,skill,Bonemerang,400
bonerush,skill,Bone Rush,300
boomburst,skill,Boomburst,800
bounce,skill,Bounce,500
bravebird,skill,Brave Bird,800
breakneckblitz,skill,Breakneck Blitz,300
brickbreak,skill,Brick Break,500
brine,skill,Brine,500
brutalswing,skill,Brutal Swing,400
bubble,skill,Bubble,400
bubblebeam,skill,Bubble Beam,500
bugbite,skill,Bug Bite,400
bugbuzz,skill,Bug Buzz,500
bulkup,skill,Bulk Up,300
bulldoze,skill,Bulldoze,400
bulletpunch,skill,Bullet Punch,400
bulletseed,skill,Bullet Seed,300
burnup,skill,Burn Up,800
calmmind,skill,Calm Mind,300
camouflage,skill,Camouflage,300
captivate,skill,Captivate,300
catastropika,skill,Catastropika,800
celebrate,skill,Celebrate,300
charge,skill,Charge,300
chargebeam,skill,Charge Beam,400
charm,skill,Charm,300
chatter,skill,Chatter,500
chipaway,skill,Chip Away,500
circlethrow,skill,Circle Throw,400
clamp,skill,Clamp,400
clangingscales,skill,Clanging Scales,650
clangoroussoulblaze,skill,Clangorous Soulblaze,800
clearsmog,skill,Clear Smog,400
closecombat,skill,Close Combat,800
coil,skill,Coil,300
cometpunch,skill,Comet Punch,300
confide,skill,Confide,300
confuseray,skill,Confuse Ray,300
confusion,skill,Confusion,400
constrict,skill,Constrict,300
continentalcrush,skill,Continental Crush,300
conversion,skill,Conversion,300
conversion2,skill,Conversion 2,300
copycat,skill,Copycat,300
coreenforcer,skill,Core Enforcer,650
corkscrewcrash,skill,Corkscrew Crash,300
cosmicpower,skill,Cosmic Power,300
cottonguard,skill,Cotton Guard,300
cottonspore,skill,Cotton Spore,300
counter,skill,Counter,300
covet,skill,Covet,400
crabhammer,skill,Crabhammer,650
craftyshield,skill,Crafty Shield,300
crosschop,skill,Cross Chop,650
crosspoison,skill,Cross Poison,500
crunch,skill,Crunch,500
crushclaw,skill,Crush Claw,500
crushgrip,skill,Crush Grip,300
curse,skill,Curse,300
cut,skill,Cut,400
darkestlariat,skill,Darkest Lariat,500
darkpulse,skill,Dark Pulse,500
darkvoid,skill,Dark Void,300
dazzlinggleam,skill,Dazzling Gleam,500
defendorder,skill,Defend Order,300
defensecurl,skill,Defense Curl,300
defog,skill,Defog,300
destinybond,skill,Destiny Bond,300
detect,skill,Detect,300
devastatingdrake,skill,Devastating Drake,300
diamondstorm,skill,Diamond Storm,650
dig,skill,Dig,500
disable,skill,Disable,300
disarmingvoice,skill,Disarming Voice,400
discharge,skill,Discharge,500
dive,skill,Dive,500
dizzypunch,skill,Dizzy Punch,500
doomdesire,skill,Doom Desire,800
doubleedge,skill,Double-Edge,800
doublehit,skill,Double Hit,400
doublekick,skill,Double Kick,300
doubleslap,skill,Double Slap,300
doubleteam,skill,Double Team,300
dracometeor,skill,Draco Meteor,800
dragonascent,skill,Dragon Ascent,800
dragonbreath,skill,Dragon Breath,400
dragonclaw,skill,Dragon Claw,500
dragondance,skill,Dragon Dance,300
dragonhammer,skill,Dragon Hammer,500
dragonpulse,skill,Dragon Pulse,500
dragonrage,skill,Dragon Rage,300
dragonrush,skill,Dragon Rush,650
dragontail,skill,Dragon Tail,400
drainingkiss,skill,Draining Kiss,400
drainpunch,skill,Drain Punch,500
dreameater,skill,Dream Eater,650
drillpeck,skill,Drill Peck,500
drillrun,skill,Drill Run,500
dualchop,skill,Dual Chop,400
dynamicpunch,skill,Dynamic Punch,650
earthpower,skill,Earth Power,500
earthquake,skill,Earthquake,650
echoedvoice,skill,Echoed Voice,400
eerieimpulse,skill,Eerie Impulse,300
eggbomb,skill,Egg Bomb,650
electricterrain,skill,Electric Terrain,300
electrify,skill,Electrify,300
electroball,skill,Electro Ball,300
electroweb,skill,Electroweb,400
embargo,skill,Embargo,300
ember,skill,Ember,400
encore,skill,Encore,300
endeavor,skill,Endeavor,300
endure,skill,Endure,300
energyball,skill,Energy Ball,500
entrainment,skill,Entrainment,300
eruption,skill,Eruption,800
explosion,skill,Explosion,800
extrasensory,skill,Extrasensory,500
extremeevoboost,skill,Extreme Evoboost,300
extremespeed,skill,Extreme Speed,500
facade,skill,Facade,500
fairylock,skill,Fairy Lock,300
fairywind,skill,Fairy Wind,400
fakeout,skill,Fake Out,400
faketears,skill,Fake Tears,300
falseswipe,skill,False Swipe,400
featherdance,skill,Feather Dance,300
feint,skill,Feint,300
feintattack,skill,Feint Attack,400
fellstinger,skill,Fell Stinger,400
fierydance,skill,Fiery Dance,500
finalgambit,skill,Final Gambit,300
fireblast,skill,Fire Blast,650
firefang,skill,Fire Fang,500
firelash,skill,Fire Lash,500
firepledge,skill,Fire Pledge,500
firepunch,skill,Fire Punch,500
firespin,skill,Fire Spin,400
firstimpression,skill,First Impression,500
fissure,skill,Fissure,300
flail,skill,Flail,300
flameburst,skill,Flame Burst,500
flamecharge,skill,Flame Charge,400
flamethrower,skill,Flamethrower,500
flamewheel,skill,Flame Wheel,400
flareblitz,skill,Flare Blitz,800
flash,skill,Flash,300
flashcannon,skill,Flash Cannon,500
flatter,skill,Flatter,300
fleurcannon,skill,Fleur Cannon,800
fling,skill,Fling,300
floralhealing,skill,Floral Healing,300
flowershield,skill,Flower Shield,300
fly,skill,Fly,500
flyingpress,skill,Flying Press,650
focusblast,skill,Focus Blast,800
focusenergy,skill,Focus Energy,300
focuspunch,skill,Focus Punch,800
followme,skill,Follow Me,300
forcepalm,skill,Force Palm,400
foresight,skill,Foresight,300
forestscurse,skill,Forest's Curse,300
foulplay,skill,Foul Play,650
freezedry,skill,Freeze-Dry,500
freezeshock,skill,Freeze Shock,800
frenzyplant,skill,Frenzy Plant,800
frostbreath,skill,Frost Breath,400
frustration,skill,Frustration,300
furyattack,skill,Fury Attack,300
furycutter,skill,Fury Cutter,400
furyswipes,skill,Fury Swipes,300
fusionbolt,skill,Fusion Bolt,650
fusionflare,skill,Fusion Flare,650
futuresight,skill,Future Sight,800
gastroacid,skill,Gastro Acid,300
geargrind,skill,Gear Grind,400
gearup,skill,Gear Up,300
genesissupernova,skill,Genesis Supernova,800
geomancy,skill,Geomancy,300
gigadrain,skill,Giga Drain,500
gigaimpact,skill,Giga Impact,800
gigavolthavoc,skill,Gigavolt Havoc,300
glaciate,skill,Glaciate,500
glare,skill,Glare,300
grassknot,skill,Grass Knot,300
grasspledge,skill,Grass Pledge,500
grasswhistle,skill,Grass Whistle,300
grassyterrain,skill,Grassy Terrain,300
gravity,skill,Gravity,300
growl,skill,Growl,300
growth,skill,Growth,300
grudge,skill,Grudge,300
guardianofalola,skill,Guardian of Alola,300
guardsplit,skill,Guard Split,300
guardswap,skill,Guard Swap,300
guillotine,skill,Guillotine,300
gunkshot,skill,Gunk Shot,800
gust,skill,Gust,400
gyroball,skill,Gyro Ball,300
hail,skill,Hail,300
hammerarm,skill,Hammer Arm,650
happyhour,skill,Happy Hour,300
harden,skill,Harden,300
haze,skill,Haze,300
headbutt,skill,Headbutt,500
headcharge,skill,Head Charge,800
headsmash,skill,Head Smash,800
healbell,skill,Heal Bell,300
healblock,skill,Heal Block,300
healingwish,skill,Healing Wish,300
healorder,skill,Heal Order,300
healpulse,skill,Heal Pulse,300
heartstamp,skill,Heart Stamp,400
heartswap,skill,Heart Swap,300
heatcrash,skill,Heat Crash,300
heatwave,skill,Heat Wave,650
heavyslam,skill,Heavy Slam,300
helpinghand,skill,Helping Hand,300
hex,skill,Hex,500
hiddenpower,skill,Hidden Power,400
highhorsepower,skill,High Horsepower,650
highjumpkick,skill,High Jump Kick,800
holdback,skill,Hold Back,400
holdhands,skill,Hold Hands,300
honeclaws,skill,Hone Claws,300
hornattack,skill,Horn Attack,500
horndrill,skill,Horn Drill,300
hornleech,skill,Horn Leech,500
howl,skill,Howl,300
hurricane,skill,Hurricane,650
hydrocannon,skill,Hydro Cannon,800
hydropump,skill,Hydro Pump,650
hydrovortex,skill,Hydro Vortex,300
hyperbeam,skill,Hyper Beam,800
hyperfang,skill,Hyper Fang,500
hyperspacefury,skill,Hyperspace Fury,650
hyperspacehole,skill,Hyperspace Hole,500
hypervoice,skill,Hyper Voice,500
hypnosis,skill,Hypnosis,300
iceball,skill,Ice Ball,300
icebeam,skill,Ice Beam,500
iceburn,skill,Ice Burn,800
icefang,skill,Ice Fang,500
icehammer,skill,Ice Hammer,650
icepunch,skill,Ice Punch,500
iceshard,skill,Ice Shard,400
iciclecrash,skill,Icicle Crash,500
iciclespear,skill,Icicle Spear,300
icywind,skill,Icy Wind,400
imprison,skill,Imprison,300
incinerate,skill,Incinerate,400
inferno,skill,Inferno,650
infernooverdrive,skill,Inferno Overdrive,300
infestation,skill,Infestation,300
ingrain,skill,Ingrain,300
instruct,skill,Instruct,300
iondeluge,skill,Ion Deluge,300
irondefense,skill,Iron Defense,300
ironhead,skill,Iron Head,500
irontail,skill,Iron Tail,650
judgment,skill,Judgment,650
jumpkick,skill,Jump Kick,650
karatechop,skill,Karate Chop,400
kinesis,skill,Kinesis,300
kingsshield,skill,King's Shield,300
knockoff,skill,Knock Off,500
landswrath,skill,Land's Wrath,500
laserfocus,skill,Laser Focus,300
lastresort,skill,Last Resort,800
lavaplume,skill,Lava Plume,500
leafage,skill,Leafage,400
leafblade,skill,Leaf Blade,500
leafstorm,skill,Leaf Storm,800
leaftornado,skill,Leaf Tornado,500
leechlife,skill,Leech Life,500
leechseed,skill,Leech Seed,300
leer,skill,Leer,300
letssnuggleforever,skill,Let's Snuggle Forever,800
lick,skill,Lick,300
lightscreen,skill,Light Screen,300
lightthatburnsthesky,skill,Light That Burns the Sky,800
liquidation,skill,Liquidation,500
lockon,skill,Lock-On,300
lovelykiss,skill,Lovely Kiss,300
lowkick,skill,Low Kick,300
lowsweep,skill,Low Sweep,500
luckychant,skill,Lucky Chant,300
lunardance,skill,Lunar Dance,300
lunge,skill,Lunge,500
lusterpurge,skill,Luster Purge,500
machpunch,skill,Mach Punch,400
magicalleaf,skill,Magical Leaf,400
magiccoat,skill,Magic Coat,300
magicroom,skill,Magic Room,300
magmastorm,skill,Magma Storm,650
magnetbomb,skill,Magnet Bomb,400
magneticflux,skill,Magnetic Flux,300
magnetrise,skill,Magnet Rise,300
magnitude,skill,Magnitude,300
maliciousmoonsault,skill,Malicious Moonsault,800
matblock,skill,Mat Block,300
meanlook,skill,Mean Look,300
meditate,skill,Meditate,300
mefirst,skill,Me First,300
megadrain,skill,Mega Drain,400
megahorn,skill,Megahorn,800
megakick,skill,Mega Kick,800
megapunch,skill,Mega Punch,500
memento,skill,Memento,300
menacingmoonrazemaelstrom,skill,Menacing Moonraze Maelstrom,800
metalburst,skill,Metal Burst,300
metalclaw,skill,Metal Claw,400
metalsound,skill,Metal Sound,300
meteormash,skill,Meteor Mash,500
metronome,skill,Metronome,300
milkdrink,skill,Milk Drink,300
mimic,skill,Mimic,300
mindblown,skill,Mind Blown,800
mindreader,skill,Mind Reader,300
minimize,skill,Minimize,300
miracleeye,skill,Miracle Eye,300
mirrorcoat,skill,Mirror Coat,300
mirrormove,skill,Mirror Move,300
mirrorshot,skill,Mirror Shot,500
mist,skill,Mist,300
mistball,skill,Mist Ball,500
mistyterrain,skill,Misty Terrain,300
moonblast,skill,Moonblast,650
moongeistbeam,skill,Moongeist Beam,650
moonlight,skill,Moonlight,300
morningsun,skill,Morning Sun,300
mudbomb,skill,Mud Bomb,500
muddywater,skill,Muddy Water,500
mudshot,skill,Mud Shot,400
mudslap,skill,Mud-Slap,300
mudsport,skill,Mud Sport,300
multiattack,skill,Multi-Attack,500
mysticalfire,skill,Mystical Fire,500
nastyplot,skill,Nasty Plot,300
naturalgift,skill,Natural Gift,300
naturepower,skill,Nature Power,300
naturesmadness,skill,Nature's Madness,300
needlearm,skill,Needle Arm,400
neverendingnightmare,skill,Never-Ending Nightmare,300
nightdaze,skill,Night Daze,500
nightmare,skill,Nightmare,300
nightshade,skill,Night Shade,300
nightslash,skill,Night Slash,500
nobleroar,skill,Noble Roar,300
nuzzle,skill,Nuzzle,300
oblivionwing,skill,Oblivion Wing,500
oceanicoperetta,skill,Oceanic Operetta,800
octazooka,skill,Octazooka,500
odorsleuth,skill,Odor Sleuth,300
ominouswind,skill,Ominous Wind,400
originpulse,skill,Origin Pulse,650
outrage,skill,Outrage,800
overheat,skill,Overheat,800
painsplit,skill,Pain Split,300
paraboliccharge,skill,Parabolic Charge,500
partingshot,skill,Parting Shot,300
payback,skill,Payback,400
payday,skill,Pay Day,400
peck,skill,Peck,400
perishsong,skill,Perish Song,300
petalblizzard,skill,Petal Blizzard,500
petaldance,skill,Petal Dance,800
phantomforce,skill,Phantom Force,500
photongeyser,skill,Photon Geyser,650
pinmissile,skill,Pin Missile,300
plasmafists,skill,Plasma Fists,650
playnice,skill,Play Nice,300
playrough,skill,Play Rough,500
pluck,skill,Pluck,400
poisonfang,skill,Poison Fang,400
poisongas,skill,Poison Gas,300
poisonjab,skill,Poison Jab,500
