species_id,name,national_dex,sprite_index,image,confidence,note
beedrillmega,Beedrill-Mega,15,15,assets/pokemon-green/pokemon/0015/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pidgey,Pidgey,16,16,assets/pokemon-green/pokemon/0016/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pidgeotto,Pidgeotto,17,17,assets/pokemon-green/pokemon/0017/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pidgeot,Pidgeot,18,18,assets/pokemon-green/pokemon/0018/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pidgeotmega,Pidgeot-Mega,18,18,assets/pokemon-green/pokemon/0018/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
rattata,Rattata,19,19,assets/pokemon-green/pokemon/0019/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
rattataalola,Rattata-Alola,19,19,assets/pokemon-green/pokemon/0019/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
raticate,Raticate,20,20,assets/pokemon-green/pokemon/0020/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
raticatealola,Raticate-Alola,20,261,assets/pokemon-green/pokemon/0261/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
raticatealolatotem,Raticate-Alola-Totem,20,20,assets/pokemon-green/pokemon/0020/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
spearow,Spearow,21,21,assets/pokemon-green/pokemon/0021/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
fearow,Fearow,22,22,assets/pokemon-green/pokemon/0022/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
ekans,Ekans,23,23,assets/pokemon-green/pokemon/0023/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
arbok,Arbok,24,24,assets/pokemon-green/pokemon/0024/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pikachu,Pikachu,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pikachualola,Pikachu-Alola,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachubelle,Pikachu-Belle,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachucosplay,Pikachu-Cosplay,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachugmax,Pikachu-Gmax,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachuhoenn,Pikachu-Hoenn,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachukalos,Pikachu-Kalos,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachulibre,Pikachu-Libre,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachuoriginal,Pikachu-Original,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachupartner,Pikachu-Partner,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachuphd,Pikachu-PhD,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachupopstar,Pikachu-Pop-Star,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachurockstar,Pikachu-Rock-Star,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachusinnoh,Pikachu-Sinnoh,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachustarter,Pikachu-Starter,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachuunova,Pikachu-Unova,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
pikachuworld,Pikachu-World,25,25,assets/pokemon-green/pokemon/0025/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
raichu,Raichu,26,26,assets/pokemon-green/pokemon/0026/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
raichualola,Raichu-Alola,26,26,assets/pokemon-green/pokemon/0026/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
raichumegax,Raichu-Mega-X,26,26,assets/pokemon-green/pokemon/0026/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
raichumegay,Raichu-Mega-Y,26,26,assets/pokemon-green/pokemon/0026/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
sandshrew,Sandshrew,27,27,assets/pokemon-green/pokemon/0027/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
sandshrewalola,Sandshrew-Alola,27,27,assets/pokemon-green/pokemon/0027/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
sandslash,Sandslash,28,28,assets/pokemon-green/pokemon/0028/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
sandslashalola,Sandslash-Alola,28,28,assets/pokemon-green/pokemon/0028/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
nidoranf,Nidoran-F,29,29,assets/pokemon-green/pokemon/0029/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
nidorina,Nidorina,30,30,assets/pokemon-green/pokemon/0030/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
nidoqueen,Nidoqueen,31,31,assets/pokemon-green/pokemon/0031/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
nidoranm,Nidoran-M,32,32,assets/pokemon-green/pokemon/0032/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
nidorino,Nidorino,33,33,assets/pokemon-green/pokemon/0033/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
nidoking,Nidoking,34,34,assets/pokemon-green/pokemon/0034/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
clefairy,Clefairy,35,35,assets/pokemon-green/pokemon/0035/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
clefable,Clefable,36,36,assets/pokemon-green/pokemon/0036/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
clefablemega,Clefable-Mega,36,36,assets/pokemon-green/pokemon/0036/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
vulpix,Vulpix,37,37,assets/pokemon-green/pokemon/0037/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
vulpixalola,Vulpix-Alola,37,37,assets/pokemon-green/pokemon/0037/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
ninetales,Ninetales,38,38,assets/pokemon-green/pokemon/0038/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
ninetalesalola,Ninetales-Alola,38,38,assets/pokemon-green/pokemon/0038/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
jigglypuff,Jigglypuff,39,39,assets/pokemon-green/pokemon/0039/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
wigglytuff,Wigglytuff,40,40,assets/pokemon-green/pokemon/0040/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
zubat,Zubat,41,41,assets/pokemon-green/pokemon/0041/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
golbat,Golbat,42,42,assets/pokemon-green/pokemon/0042/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
oddish,Oddish,43,43,assets/pokemon-green/pokemon/0043/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
gloom,Gloom,44,44,assets/pokemon-green/pokemon/0044/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
vileplume,Vileplume,45,45,assets/pokemon-green/pokemon/0045/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
paras,Paras,46,46,assets/pokemon-green/pokemon/0046/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
parasect,Parasect,47,47,assets/pokemon-green/pokemon/0047/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
venonat,Venonat,48,48,assets/pokemon-green/pokemon/0048/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
venomoth,Venomoth,49,49,assets/pokemon-green/pokemon/0049/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
diglett,Diglett,50,50,assets/pokemon-green/pokemon/0050/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
diglettalola,Diglett-Alola,50,50,assets/pokemon-green/pokemon/0050/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
dugtrio,Dugtrio,51,51,assets/pokemon-green/pokemon/0051/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
dugtrioalola,Dugtrio-Alola,51,51,assets/pokemon-green/pokemon/0051/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
meowth,Meowth,52,52,assets/pokemon-green/pokemon/0052/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
meowthalola,Meowth-Alola,52,52,assets/pokemon-green/pokemon/0052/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
meowthgalar,Meowth-Galar,52,52,assets/pokemon-green/pokemon/0052/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
meowthgmax,Meowth-Gmax,52,52,assets/pokemon-green/pokemon/0052/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
persian,Persian,53,53,assets/pokemon-green/pokemon/0053/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
persianalola,Persian-Alola,53,260,assets/pokemon-green/pokemon/0260/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
psyduck,Psyduck,54,54,assets/pokemon-green/pokemon/0054/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
golduck,Golduck,55,55,assets/pokemon-green/pokemon/0055/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
mankey,Mankey,56,56,assets/pokemon-green/pokemon/0056/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
primeape,Primeape,57,57,assets/pokemon-green/pokemon/0057/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
growlithe,Growlithe,58,58,assets/pokemon-green/pokemon/0058/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
growlithehisui,Growlithe-Hisui,58,58,assets/pokemon-green/pokemon/0058/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
arcanine,Arcanine,59,59,assets/pokemon-green/pokemon/0059/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
arcaninehisui,Arcanine-Hisui,59,59,assets/pokemon-green/pokemon/0059/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
poliwag,Poliwag,60,60,assets/pokemon-green/pokemon/0060/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
poliwhirl,Poliwhirl,61,61,assets/pokemon-green/pokemon/0061/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
poliwrath,Poliwrath,62,62,assets/pokemon-green/pokemon/0062/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
abra,Abra,63,63,assets/pokemon-green/pokemon/0063/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
kadabra,Kadabra,64,64,assets/pokemon-green/pokemon/0064/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
alakazam,Alakazam,65,65,assets/pokemon-green/pokemon/0065/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
alakazammega,Alakazam-Mega,65,65,assets/pokemon-green/pokemon/0065/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
machop,Machop,66,66,assets/pokemon-green/pokemon/0066/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
machoke,Machoke,67,67,assets/pokemon-green/pokemon/0067/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
machamp,Machamp,68,68,assets/pokemon-green/pokemon/0068/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
machampgmax,Machamp-Gmax,68,256,assets/pokemon-green/pokemon/0256/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
bellsprout,Bellsprout,69,69,assets/pokemon-green/pokemon/0069/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
weepinbell,Weepinbell,70,70,assets/pokemon-green/pokemon/0070/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
victreebel,Victreebel,71,71,assets/pokemon-green/pokemon/0071/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
victreebelmega,Victreebel-Mega,71,71,assets/pokemon-green/pokemon/0071/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
tentacool,Tentacool,72,72,assets/pokemon-green/pokemon/0072/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
tentacruel,Tentacruel,73,73,assets/pokemon-green/pokemon/0073/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
geodude,Geodude,74,74,assets/pokemon-green/pokemon/0074/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
geodudealola,Geodude-Alola,74,74,assets/pokemon-green/pokemon/0074/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
graveler,Graveler,75,75,assets/pokemon-green/pokemon/0075/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
graveleralola,Graveler-Alola,75,75,assets/pokemon-green/pokemon/0075/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
golem,Golem,76,76,assets/pokemon-green/pokemon/0076/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
golemalola,Golem-Alola,76,76,assets/pokemon-green/pokemon/0076/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
ponyta,Ponyta,77,77,assets/pokemon-green/pokemon/0077/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
ponytagalar,Ponyta-Galar,77,77,assets/pokemon-green/pokemon/0077/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
rapidash,Rapidash,78,78,assets/pokemon-green/pokemon/0078/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
rapidashgalar,Rapidash-Galar,78,78,assets/pokemon-green/pokemon/0078/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
slowpoke,Slowpoke,79,79,assets/pokemon-green/pokemon/0079/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
slowpokegalar,Slowpoke-Galar,79,79,assets/pokemon-green/pokemon/0079/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
slowbro,Slowbro,80,80,assets/pokemon-green/pokemon/0080/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
slowbrogalar,Slowbro-Galar,80,80,assets/pokemon-green/pokemon/0080/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
slowbromega,Slowbro-Mega,80,80,assets/pokemon-green/pokemon/0080/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
magnemite,Magnemite,81,81,assets/pokemon-green/pokemon/0081/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
magneton,Magneton,82,82,assets/pokemon-green/pokemon/0082/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
farfetchd,Farfetch’d,83,83,assets/pokemon-green/pokemon/0083/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
farfetchdgalar,Farfetch’d-Galar,83,83,assets/pokemon-green/pokemon/0083/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
doduo,Doduo,84,84,assets/pokemon-green/pokemon/0084/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
dodrio,Dodrio,85,85,assets/pokemon-green/pokemon/0085/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
seel,Seel,86,86,assets/pokemon-green/pokemon/0086/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
dewgong,Dewgong,87,87,assets/pokemon-green/pokemon/0087/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
grimer,Grimer,88,88,assets/pokemon-green/pokemon/0088/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
grimeralola,Grimer-Alola,88,88,assets/pokemon-green/pokemon/0088/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
muk,Muk,89,89,assets/pokemon-green/pokemon/0089/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
mukalola,Muk-Alola,89,89,assets/pokemon-green/pokemon/0089/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
shellder,Shellder,90,90,assets/pokemon-green/pokemon/0090/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
cloyster,Cloyster,91,91,assets/pokemon-green/pokemon/0091/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
gastly,Gastly,92,92,assets/pokemon-green/pokemon/0092/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
haunter,Haunter,93,93,assets/pokemon-green/pokemon/0093/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
gengar,Gengar,94,94,assets/pokemon-green/pokemon/0094/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
gengargmax,Gengar-Gmax,94,263,assets/pokemon-green/pokemon/0263/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
gengarmega,Gengar-Mega,94,94,assets/pokemon-green/pokemon/0094/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
onix,Onix,95,95,assets/pokemon-green/pokemon/0095/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
drowzee,Drowzee,96,96,assets/pokemon-green/pokemon/0096/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
hypno,Hypno,97,97,assets/pokemon-green/pokemon/0097/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
krabby,Krabby,98,98,assets/pokemon-green/pokemon/0098/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
kingler,Kingler,99,99,assets/pokemon-green/pokemon/0099/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
kinglergmax,Kingler-Gmax,99,257,assets/pokemon-green/pokemon/0257/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
voltorb,Voltorb,100,100,assets/pokemon-green/pokemon/0100/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
voltorbhisui,Voltorb-Hisui,100,100,assets/pokemon-green/pokemon/0100/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
electrode,Electrode,101,101,assets/pokemon-green/pokemon/0101/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
electrodehisui,Electrode-Hisui,101,101,assets/pokemon-green/pokemon/0101/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
exeggcute,Exeggcute,102,102,assets/pokemon-green/pokemon/0102/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
exeggutor,Exeggutor,103,103,assets/pokemon-green/pokemon/0103/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
exeggutoralola,Exeggutor-Alola,103,103,assets/pokemon-green/pokemon/0103/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
cubone,Cubone,104,104,assets/pokemon-green/pokemon/0104/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
marowak,Marowak,105,105,assets/pokemon-green/pokemon/0105/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
marowakalola,Marowak-Alola,105,105,assets/pokemon-green/pokemon/0105/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
marowakalolatotem,Marowak-Alola-Totem,105,105,assets/pokemon-green/pokemon/0105/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
hitmonlee,Hitmonlee,106,106,assets/pokemon-green/pokemon/0106/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
hitmonchan,Hitmonchan,107,107,assets/pokemon-green/pokemon/0107/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
lickitung,Lickitung,108,108,assets/pokemon-green/pokemon/0108/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
koffing,Koffing,109,109,assets/pokemon-green/pokemon/0109/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
weezing,Weezing,110,110,assets/pokemon-green/pokemon/0110/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
weezinggalar,Weezing-Galar,110,110,assets/pokemon-green/pokemon/0110/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
rhyhorn,Rhyhorn,111,111,assets/pokemon-green/pokemon/0111/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
rhydon,Rhydon,112,112,assets/pokemon-green/pokemon/0112/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
chansey,Chansey,113,113,assets/pokemon-green/pokemon/0113/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
tangela,Tangela,114,114,assets/pokemon-green/pokemon/0114/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
kangaskhan,Kangaskhan,115,115,assets/pokemon-green/pokemon/0115/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
kangaskhanmega,Kangaskhan-Mega,115,115,assets/pokemon-green/pokemon/0115/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
horsea,Horsea,116,116,assets/pokemon-green/pokemon/0116/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
seadra,Seadra,117,117,assets/pokemon-green/pokemon/0117/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
goldeen,Goldeen,118,118,assets/pokemon-green/pokemon/0118/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
seaking,Seaking,119,119,assets/pokemon-green/pokemon/0119/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
staryu,Staryu,120,120,assets/pokemon-green/pokemon/0120/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
starmie,Starmie,121,121,assets/pokemon-green/pokemon/0121/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
starmiemega,Starmie-Mega,121,121,assets/pokemon-green/pokemon/0121/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
mrmime,Mr. Mime,122,122,assets/pokemon-green/pokemon/0122/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
mrmimegalar,Mr. Mime-Galar,122,122,assets/pokemon-green/pokemon/0122/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
scyther,Scyther,123,123,assets/pokemon-green/pokemon/0123/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
jynx,Jynx,124,124,assets/pokemon-green/pokemon/0124/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
electabuzz,Electabuzz,125,125,assets/pokemon-green/pokemon/0125/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
magmar,Magmar,126,126,assets/pokemon-green/pokemon/0126/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pinsir,Pinsir,127,127,assets/pokemon-green/pokemon/0127/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
pinsirmega,Pinsir-Mega,127,127,assets/pokemon-green/pokemon/0127/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
tauros,Tauros,128,128,assets/pokemon-green/pokemon/0128/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
taurospaldeaaqua,Tauros-Paldea-Aqua,128,128,assets/pokemon-green/pokemon/0128/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
taurospaldeablaze,Tauros-Paldea-Blaze,128,128,assets/pokemon-green/pokemon/0128/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
taurospaldeacombat,Tauros-Paldea-Combat,128,128,assets/pokemon-green/pokemon/0128/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
magikarp,Magikarp,129,129,assets/pokemon-green/pokemon/0129/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
gyarados,Gyarados,130,130,assets/pokemon-green/pokemon/0130/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
gyaradosmega,Gyarados-Mega,130,130,assets/pokemon-green/pokemon/0130/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
lapras,Lapras,131,131,assets/pokemon-green/pokemon/0131/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
laprasgmax,Lapras-Gmax,131,258,assets/pokemon-green/pokemon/0258/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
ditto,Ditto,132,132,assets/pokemon-green/pokemon/0132/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
eevee,Eevee,133,133,assets/pokemon-green/pokemon/0133/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
eeveegmax,Eevee-Gmax,133,133,assets/pokemon-green/pokemon/0133/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
eeveestarter,Eevee-Starter,133,133,assets/pokemon-green/pokemon/0133/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
vaporeon,Vaporeon,134,134,assets/pokemon-green/pokemon/0134/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
