id,type,region,role,tier,name_zh,name_en,front_asset,front_gif_asset,back_asset,avatar_asset,team_pool_ids,enabled,notes
gym:关都地区:阿桔:5,gym,关都地区,馆主,tier2,阿桔,Koga,assets/npc/boss/阿桔-kogahgss.gif,assets/npc/boss/阿桔-gif-kogahgss.gif,,assets/npc/avatars/阿桔-vskoga.png,gym:tier2:阿桔,1,关都地区|馆主|Koga|阿桔
gym:关都地区:阿杏:6,gym,关都地区,馆主,tier2,阿杏,Janine,assets/npc/boss/阿杏-janinehgss.gif,assets/npc/boss/阿杏-gif-janinehgss.gif,,assets/npc/avatars/阿杏-vsjanine.png,gym:tier2:阿杏,1,关都地区|馆主|Janine|阿杏
gym:关都地区:娜姿:7,gym,关都地区,馆主,tier2,娜姿,Sabrina,assets/npc/boss/娜姿-sabrinahgss.gif,assets/npc/boss/娜姿-gif-sabrinahgss.gif,,assets/npc/avatars/娜姿-vssabrina.png,gym:tier2:娜姿,1,关都地区|馆主|Sabrina|娜姿
gym:关都地区:夏伯:8,gym,关都地区,馆主,tier3,夏伯,Blaine,assets/npc/boss/夏伯-blainehgss.gif,assets/npc/boss/夏伯-gif-blainehgss.gif,,,gym:tier3:夏伯,1,关都地区|馆主|Blaine|夏伯
gym:关都地区:坂木:9,gym,关都地区,馆主,tier3,坂木,Giovanni,assets/npc/boss/坂木-giovannihgss.gif,assets/npc/boss/坂木-gif-giovannihgss.gif,,assets/npc/avatars/坂木-vsgiovanni.png,gym:tier3:坂木,1,关都地区|馆主|Giovanni|坂木
gym:关都地区:青绿:10,gym,关都地区,馆主,tier3,青绿,Blue,assets/npc/boss/青绿-bluehgss.gif,assets/npc/boss/青绿-gif-bluehgss.gif,,assets/npc/avatars/青绿-青绿.webp,gym:tier3:青绿,1,关都地区|馆主|Blue|Green|青绿|青綠
elite4:关都地区:科拿:1,elite4,关都地区,四天王,elite4,科拿,,assets/npc/boss/科拿-科拿.webp,,,,elite4:elite4:科拿,1,关都地区|四天王|科拿
elite4:关都地区:希巴:2,elite4,关都地区,四天王,elite4,希巴,Bruno,assets/npc/boss/希巴-brunohgss.gif,assets/npc/boss/希巴-gif-brunohgss.gif,,assets/npc/avatars/希巴-vsbruno.png,elite4:elite4:希巴,1,关都地区|四天王|Bruno|希巴
elite4:关都地区:菊子:3,elite4,关都地区,四天王,elite4,菊子,,assets/npc/boss/菊子-菊子.webp,,,,elite4:elite4:菊子,1,关都地区|四天王|菊子
elite4:关都地区:阿渡:4,elite4,关都地区,四天王,elite4,阿渡,Lance,assets/npc/boss/阿渡-lancehgss.gif,assets/npc/boss/阿渡-gif-lancehgss.gif,,assets/npc/avatars/阿渡-vslance.png,elite4:elite4:阿渡,1,关都地区|四天王|Lance|阿渡
champion:关都地区:小茂-青绿:1,champion,关都地区,冠军,champion,小茂 / 青绿,Blue,assets/npc/boss/小茂-青绿-bluehgss.gif,assets/npc/boss/小茂-青绿-gif-bluehgss.gif,,assets/npc/avatars/小茂-青绿-青绿.webp,champion:champion:小茂-青绿,1,关都地区|冠军|Blue|Green|青绿|青綠
champion:关都地区:赤红:2,champion,关都地区,冠军,champion,赤红,Red,assets/npc/boss/赤红-red.gif,assets/npc/boss/赤红-gif-red.gif,,assets/npc/avatars/赤红-赤红.webp,champion:champion:赤红,1,关都地区|冠军|Red|赤红|赤紅
gym:城都地区:阿速:1,gym,城都地区,馆主,tier1,阿速,Falkner,assets/npc/boss/阿速-falknerhgss.gif,assets/npc/boss/阿速-gif-falknerhgss.gif,,assets/npc/avatars/阿速-vsfalkner.png,gym:tier1:阿速,1,城都地区|馆主|Falkner|阿速
gym:城都地区:阿笔:2,gym,城都地区,馆主,tier1,阿笔,Bugsy,assets/npc/boss/阿笔-bugsyhgss.gif,assets/npc/boss/阿笔-gif-bugsyhgss.gif,,assets/npc/avatars/阿笔-vsbugsy.png,gym:tier1:阿笔,1,城都地区|馆主|Bugsy|阿笔|阿筆
gym:城都地区:小茜:3,gym,城都地区,馆主,tier1,小茜,Whitney,assets/npc/boss/小茜-whitneyhgss.gif,assets/npc/boss/小茜-gif-whitneyhgss.gif,,assets/npc/avatars/小茜-vswhitney.png,gym:tier1:小茜,1,城都地区|馆主|Whitney|小茜
gym:城都地区:松叶:4,gym,城都地区,馆主,tier2,松叶,Morty,assets/npc/boss/松叶-mortyhgss.gif,assets/npc/boss/松叶-gif-mortyhgss.gif,,assets/npc/avatars/松叶-vsmorty.png,gym:tier2:松叶,1,城都地区|馆主|Morty|松叶|松葉
gym:城都地区:阿四:5,gym,城都地区,馆主,tier2,阿四,Chuck,assets/npc/boss/阿四-chuckhgss.gif,assets/npc/boss/阿四-gif-chuckhgss.gif,,,gym:tier2:阿四,1,城都地区|馆主|Chuck|阿四
gym:城都地区:阿蜜:6,gym,城都地区,馆主,tier2,阿蜜,Jasmine,assets/npc/boss/阿蜜-jasminehgss.gif,assets/npc/boss/阿蜜-gif-jasminehgss.gif,,assets/npc/avatars/阿蜜-vsjasmine.png,gym:tier2:阿蜜,1,城都地区|馆主|Jasmine|阿蜜
gym:城都地区:柳伯:7,gym,城都地区,馆主,tier3,柳伯,Pryce,assets/npc/boss/柳伯-prycehgss.gif,assets/npc/boss/柳伯-gif-prycehgss.gif,,assets/npc/avatars/柳伯-vspryce.png,gym:tier3:柳伯,1,城都地区|馆主|Pryce|柳伯
gym:城都地区:小椿:8,gym,城都地区,馆主,tier3,小椿,Clair,assets/npc/boss/小椿-clairhgss.gif,assets/npc/boss/小椿-gif-clairhgss.gif,,assets/npc/avatars/小椿-vsclair.png,gym:tier3:小椿,1,城都地区|馆主|Clair|小椿
elite4:城都地区:一树:1,elite4,城都地区,四天王,elite4,一树,Will,assets/npc/boss/一树-willhgss.gif,assets/npc/boss/一树-gif-willhgss.gif,,assets/npc/avatars/一树-vswill.png,elite4:elite4:一树,1,城都地区|四天王|Will|一树|一樹
elite4:城都地区:阿桔:2,elite4,城都地区,四天王,elite4,阿桔,Koga,assets/npc/boss/阿桔-kogahgss.gif,assets/npc/boss/阿桔-gif-kogahgss.gif,,assets/npc/avatars/阿桔-vskoga.png,elite4:elite4:阿桔,1,城都地区|四天王|Koga|阿桔
elite4:城都地区:希巴:3,elite4,城都地区,四天王,elite4,希巴,Bruno,assets/npc/boss/希巴-brunohgss.gif,assets/npc/boss/希巴-gif-brunohgss.gif,,assets/npc/avatars/希巴-vsbruno.png,elite4:elite4:希巴,1,城都地区|四天王|Bruno|希巴
elite4:城都地区:梨花:4,elite4,城都地区,四天王,elite4,梨花,Karen,assets/npc/boss/梨花-karenhgss.gif,assets/npc/boss/梨花-gif-karenhgss.gif,,assets/npc/avatars/梨花-vskaren.png,elite4:elite4:梨花,1,城都地区|四天王|Karen|梨花
champion:城都地区:阿渡:1,champion,城都地区,冠军,champion,阿渡,Lance,assets/npc/boss/阿渡-lancehgss.gif,assets/npc/boss/阿渡-gif-lancehgss.gif,,assets/npc/avatars/阿渡-vslance.png,champion:champion:阿渡,1,城都地区|冠军|Lance|阿渡
gym:丰缘地区:杜娟:1,gym,丰缘地区,馆主,tier1,杜娟,Roxanne,assets/npc/boss/杜娟-spr_b2w2_roxanne.png,,,,gym:tier1:杜娟,1,丰缘地区|馆主|Roxanne|杜娟
gym:丰缘地区:藤树:2,gym,丰缘地区,馆主,tier1,藤树,Brawly,assets/npc/boss/藤树-spr_b2w2_brawly.png,,,,gym:tier1:藤树,1,丰缘地区|馆主|Brawly|藤树|藤樹
gym:丰缘地区:铁旋:3,gym,丰缘地区,馆主,tier1,铁旋,Wattson,assets/npc/boss/铁旋-spr_b2w2_wattson.png,,,,gym:tier1:铁旋,1,丰缘地区|馆主|Wattson|铁旋|鐵旋
gym:丰缘地区:亚莎:4,gym,丰缘地区,馆主,tier2,亚莎,Flannery,assets/npc/boss/亚莎-spr_b2w2_flannery.png,,,,gym:tier2:亚莎,1,丰缘地区|馆主|Flannery|亚莎|亞莎
gym:丰缘地区:千里:5,gym,丰缘地区,馆主,tier2,千里,Norman,assets/npc/boss/千里-spr_b2w2_norman.png,,,,gym:tier2:千里,1,丰缘地区|馆主|Norman|千里
gym:丰缘地区:娜琪:6,gym,丰缘地区,馆主,tier2,娜琪,Winona,assets/npc/boss/娜琪-spr_b2w2_winona.png,,,,gym:tier2:娜琪,1,丰缘地区|馆主|Winona|娜琪
gym:丰缘地区:小枫与小南:7,gym,丰缘地区,馆主,tier3,小枫与小南,Tate,assets/npc/boss/小枫与小南-spr_b2w2_liza.png,,,,gym:tier3:小枫与小南,1,丰缘地区|馆主|Tate|Liza|小枫与小南|小楓與小南
gym:丰缘地区:米可利:8,gym,丰缘地区,馆主,tier3,米可利,Wallace,assets/npc/boss/米可利-spr_b2w2_wallace.png,,,assets/npc/avatars/米可利-米可利.webp,gym:tier3:米可利,1,丰缘地区|馆主|Wallace|米可利
gym:丰缘地区:亚当:9,gym,丰缘地区,馆主,tier3,亚当,Juan,assets/npc/boss/亚当-spr_b2w2_juan.png,,,,gym:tier3:亚当,1,丰缘地区|馆主|Juan|亚当|亞當
elite4:丰缘地区:花月:1,elite4,丰缘地区,四天王,elite4,花月,Sidney,assets/npc/boss/花月-花月.webp,,,,elite4:elite4:花月,1,丰缘地区|四天王|Sidney|花月
elite4:丰缘地区:芙蓉:2,elite4,丰缘地区,四天王,elite4,芙蓉,Phoebe,assets/npc/boss/芙蓉-芙蓉.webp,,,,elite4:elite4:芙蓉,1,丰缘地区|四天王|Phoebe|芙蓉
elite4:丰缘地区:波妮:3,elite4,丰缘地区,四天王,elite4,波妮,Glacia,assets/npc/boss/波妮-波妮.webp,,,,elite4:elite4:波妮,1,丰缘地区|四天王|Glacia|波妮
elite4:丰缘地区:源治:4,elite4,丰缘地区,四天王,elite4,源治,Drake,assets/npc/boss/源治-源治.webp,,,,elite4:elite4:源治,1,丰缘地区|四天王|Drake|源治
champion:丰缘地区:大吾:1,champion,丰缘地区,冠军,champion,大吾,Steven,assets/npc/boss/大吾-spr_b2w2_steven.png,,,assets/npc/avatars/大吾-大吾.webp,champion:champion:大吾,1,丰缘地区|冠军|Steven|大吾
champion:丰缘地区:米可利:2,champion,丰缘地区,冠军,champion,米可利,Wallace,assets/npc/boss/米可利-spr_b2w2_wallace.png,,,assets/npc/avatars/米可利-米可利.webp,champion:champion:米可利,1,丰缘地区|冠军|Wallace|米可利
gym:神奥地区:瓢太:1,gym,神奥地区,馆主,tier1,瓢太,Roark,assets/npc/boss/瓢太-roarkplatinum.gif,assets/npc/boss/瓢太-gif-roarkplatinum.gif,,assets/npc/avatars/瓢太-vsroark.png,gym:tier1:瓢太,1,神奥地区|馆主|Roark|Hyouta|瓢太
gym:神奥地区:菜种:2,gym,神奥地区,馆主,tier1,菜种,Gardenia,assets/npc/boss/菜种-gardeniaplatinum.gif,assets/npc/boss/菜种-gif-gardeniaplatinum.gif,,assets/npc/avatars/菜种-vsgardenia.png,gym:tier1:菜种,1,神奥地区|馆主|Gardenia|Natane|菜种|菜種
gym:神奥地区:阿李:3,gym,神奥地区,馆主,tier1,阿李,Maylene,assets/npc/boss/阿李-mayleneplatinum.gif,assets/npc/boss/阿李-gif-mayleneplatinum.gif,,assets/npc/avatars/阿李-vsmaylene.png,gym:tier1:阿李,1,神奥地区|馆主|Maylene|Sumomo|阿李
gym:神奥地区:吉宪:4,gym,神奥地区,馆主,tier2,吉宪,Crasher Wake,assets/npc/boss/吉宪-crasherwakeplatinum.gif,assets/npc/boss/吉宪-gif-crasherwakeplatinum.gif,,assets/npc/avatars/吉宪-vscrasher_wake.png,gym:tier2:吉宪,1,神奥地区|馆主|Crasher Wake|CrasherWake|Makishi|吉宪|吉憲
gym:神奥地区:梅丽莎:5,gym,神奥地区,馆主,tier2,梅丽莎,Fantina,assets/npc/boss/梅丽莎-fantinaplatinum.gif,assets/npc/boss/梅丽莎-gif-fantinaplatinum.gif,,assets/npc/avatars/梅丽莎-vsfantina.png,gym:tier2:梅丽莎,1,神奥地区|馆主|Fantina|Merissa|梅丽莎|梅麗莎
gym:神奥地区:东瓜:6,gym,神奥地区,馆主,tier2,东瓜,Byron,assets/npc/boss/东瓜-byronplatinum.gif,assets/npc/boss/东瓜-gif-byronplatinum.gif,,assets/npc/avatars/东瓜-vsbyron.png,gym:tier2:东瓜,1,神奥地区|馆主|Byron|Tougan|东瓜|東瓜
gym:神奥地区:小菘:7,gym,神奥地区,馆主,tier3,小菘,Candice,assets/npc/boss/小菘-candiceplatinum.gif,assets/npc/boss/小菘-gif-candiceplatinum.gif,,assets/npc/avatars/小菘-vscandice.png,gym:tier3:小菘,1,神奥地区|馆主|Candice|Suzuna|小菘
gym:神奥地区:电次:8,gym,神奥地区,馆主,tier3,电次,Volkner,assets/npc/boss/电次-volknerplatinum.gif,assets/npc/boss/电次-gif-volknerplatinum.gif,,assets/npc/avatars/电次-vsvolkner.png,gym:tier3:电次,1,神奥地区|馆主|Volkner|Denji|电次|電次
elite4:神奥地区:阿柳:1,elite4,神奥地区,四天王,elite4,阿柳,Aaron,assets/npc/boss/阿柳-aaronplatinum.gif,assets/npc/boss/阿柳-gif-aaronplatinum.gif,,assets/npc/avatars/阿柳-vsaaron.png,elite4:elite4:阿柳,1,神奥地区|四天王|Aaron|阿柳
elite4:神奥地区:菊野:2,elite4,神奥地区,四天王,elite4,菊野,Bertha,assets/npc/boss/菊野-berthaplatinum.gif,assets/npc/boss/菊野-gif-berthaplatinum.gif,,assets/npc/avatars/菊野-vsbertha.png,elite4:elite4:菊野,1,神奥地区|四天王|Bertha|菊野
elite4:神奥地区:大叶:3,elite4,神奥地区,四天王,elite4,大叶,Flint,assets/npc/boss/大叶-flintplatinum.gif,assets/npc/boss/大叶-gif-flintplatinum.gif,,assets/npc/avatars/大叶-vsflint.png,elite4:elite4:大叶,1,神奥地区|四天王|Flint|大叶|大葉
elite4:神奥地区:悟松:4,elite4,神奥地区,四天王,elite4,悟松,Lucian,assets/npc/boss/悟松-lucianplatinum.gif,assets/npc/boss/悟松-gif-lucianplatinum.gif,,assets/npc/avatars/悟松-vslucian.png,elite4:elite4:悟松,1,神奥地区|四天王|Lucian|Goyou|悟松
champion:神奥地区:竹兰:1,champion,神奥地区,冠军,champion,竹兰,Cynthia,assets/npc/boss/竹兰-cynthiaplatinum.gif,assets/npc/boss/竹兰-gif-cynthiaplatinum.gif,,assets/npc/avatars/竹兰-vscynthia.png,champion:champion:竹兰,1,神奥地区|冠军|Cynthia|Shirona|竹兰|竹蘭
gym:合众地区:天桐:1,gym,合众地区,馆主,tier1,天桐,Cilan,assets/npc/boss/天桐-天桐.webp,,,,gym:tier1:天桐,1,合众地区|馆主|Cilan|Dent|天桐
gym:合众地区:伯特:2,gym,合众地区,馆主,tier1,伯特,Chili,assets/npc/boss/伯特-spr_bw_chili.png,,,assets/npc/avatars/伯特-vschili.png,gym:tier1:伯特,1,合众地区|馆主|Chili|Pod|伯特
gym:合众地区:寇恩:3,gym,合众地区,馆主,tier1,寇恩,Cress,assets/npc/boss/寇恩-寇恩.webp,,,assets/npc/avatars/寇恩-vscress.png,gym:tier1:寇恩,1,合众地区|馆主|Cress|Corn|寇恩
gym:合众地区:芦荟:4,gym,合众地区,馆主,tier1,芦荟,Lenora,assets/npc/boss/芦荟-spr_bw_aloe.png,,,assets/npc/avatars/芦荟-vsaloe.png,gym:tier1:芦荟,1,合众地区|馆主|Lenora|Aloe|芦荟|蘆薈
gym:合众地区:黑连:5,gym,合众地区,馆主,tier1,黑连,Cheren,assets/npc/boss/黑连-spr_b2w2_cheren.png,,,assets/npc/avatars/黑连-vscheren.png,gym:tier1:黑连,1,合众地区|馆主|Cheren|黑连|黑連
gym:合众地区:霍米加:6,gym,合众地区,馆主,tier2,霍米加,Roxie,assets/npc/boss/霍米加-spr_b2w2_roxie.png,,,assets/npc/avatars/霍米加-vsroxie.png,gym:tier2:霍米加,1,合众地区|馆主|Roxie|霍米加
gym:合众地区:亚堤:7,gym,合众地区,馆主,tier2,亚堤,Burgh,assets/npc/boss/亚堤-spr_bw_arti.png,,,assets/npc/avatars/亚堤-vsarti.png,gym:tier2:亚堤,1,合众地区|馆主|Burgh|Arti|亚堤|亞堤
gym:合众地区:小菊儿:8,gym,合众地区,馆主,tier2,小菊儿,Elesa,assets/npc/boss/小菊儿-spr_b2w2_elesa.png,,,assets/npc/avatars/小菊儿-vselesa_2.png,gym:tier2:小菊儿,1,合众地区|馆主|Elesa|Kamitsure|小菊儿|小菊兒
gym:合众地区:菊老大:9,gym,合众地区,馆主,tier2,菊老大,Clay,assets/npc/boss/菊老大-spr_bw_yacon.png,,,assets/npc/avatars/菊老大-vsyacon.png,gym:tier2:菊老大,1,合众地区|馆主|Clay|Yacon|菊老大
gym:合众地区:风露:10,gym,合众地区,馆主,tier2,风露,Skyla,assets/npc/boss/风露-spr_bw_fuuro.png,,,,gym:tier2:风露,1,合众地区|馆主|Skyla|Fuuro|风露|風露
gym:合众地区:哈奇库:11,gym,合众地区,馆主,tier3,哈奇库,Brycen,assets/npc/boss/哈奇库-spr_bw_hachiku.png,,,assets/npc/avatars/哈奇库-vshachiku.png,gym:tier3:哈奇库,1,合众地区|馆主|Brycen|Hachiku|哈奇库|哈奇庫
gym:合众地区:夏卡:12,gym,合众地区,馆主,tier3,夏卡,Drayden,assets/npc/boss/夏卡-spr_bw_shaga.png,,,assets/npc/avatars/夏卡-vsshaga.png,gym:tier3:夏卡,1,合众地区|馆主|Drayden|Shaga|夏卡
gym:合众地区:艾莉丝:13,gym,合众地区,馆主,tier3,艾莉丝,Iris,assets/npc/boss/艾莉丝-spr_b2w2_iris.png,,,assets/npc/avatars/艾莉丝-vsiris.png,gym:tier3:艾莉丝,1,合众地区|馆主|Iris|艾莉丝|艾莉絲
gym:合众地区:西子伊:14,gym,合众地区,馆主,tier3,西子伊,Marlon,assets/npc/boss/西子伊-spr_b2w2_marlon.png,,,assets/npc/avatars/西子伊-vsmarlon.png,gym:tier3:西子伊,1,合众地区|馆主|Marlon|西子伊
elite4:合众地区:越橘:1,elite4,合众地区,四天王,elite4,越橘,Grimsley,assets/npc/boss/越橘-spr_bw_giima.png,,,assets/npc/avatars/越橘-vsgiima.png,elite4:elite4:越橘,1,合众地区|四天王|Grimsley|Giima|越橘
elite4:合众地区:连武:2,elite4,合众地区,四天王,elite4,连武,Marshal,assets/npc/boss/连武-spr_bw_renbu.png,,,assets/npc/avatars/连武-vsrenbu.png,elite4:elite4:连武,1,合众地区|四天王|Marshal|Renbu|连武|連武
elite4:合众地区:婉龙:3,elite4,合众地区,四天王,elite4,婉龙,Shauntal,assets/npc/boss/婉龙-spr_bw_shikimi.png,,,assets/npc/avatars/婉龙-vsshikimi.png,elite4:elite4:婉龙,1,合众地区|四天王|Shauntal|Shikimi|婉龙|婉龍
elite4:合众地区:嘉德丽雅:4,elite4,合众地区,四天王,elite4,嘉德丽雅,Caitlin,assets/npc/boss/嘉德丽雅-spr_bw_caitlin.png,,,assets/npc/avatars/嘉德丽雅-vscaitlin.png,elite4:elite4:嘉德丽雅,1,合众地区|四天王|Caitlin|Cattleya|嘉德丽雅|嘉德麗雅
champion:合众地区:阿戴克:1,champion,合众地区,冠军,champion,阿戴克,Alder,assets/npc/boss/阿戴克-spr_bw_adeku.png,,,assets/npc/avatars/阿戴克-vsadeku.png,champion:champion:阿戴克,1,合众地区|冠军|Alder|Adeku|阿戴克
champion:合众地区:艾莉丝:2,champion,合众地区,冠军,champion,艾莉丝,Iris,assets/npc/boss/艾莉丝-spr_b2w2_iris.png,,,assets/npc/avatars/艾莉丝-vsiris.png,champion:champion:艾莉丝,1,合众地区|冠军|Iris|艾莉丝|艾莉絲
gym:卡洛斯地区:紫罗兰:1,gym,卡洛斯地区,馆主,tier1,紫罗兰,,assets/npc/boss/紫罗兰-紫罗兰.webp,,,,gym:tier1:紫罗兰,1,卡洛斯地区|馆主|紫罗兰
gym:卡洛斯地区:查克洛:2,gym,卡洛斯地区,馆主,tier1,查克洛,,assets/npc/boss/查克洛-查克洛.webp,,,,gym:tier1:查克洛,1,卡洛斯地区|馆主|查克洛
gym:卡洛斯地区:可尔妮:3,gym,卡洛斯地区,馆主,tier1,可尔妮,,assets/npc/boss/可尔妮-可尔妮.webp,,,,gym:tier1:可尔妮,1,卡洛斯地区|馆主|可尔妮
gym:卡洛斯地区:福爷:4,gym,卡洛斯地区,馆主,tier2,福爷,,assets/npc/boss/福爷-福爷.webp,,,,gym:tier2:福爷,1,卡洛斯地区|馆主|福爷
gym:卡洛斯地区:希特隆:5,gym,卡洛斯地区,馆主,tier2,希特隆,,assets/npc/boss/希特隆-希特隆.webp,,,,gym:tier2:希特隆,1,卡洛斯地区|馆主|希特隆
gym:卡洛斯地区:玛绣:6,gym,卡洛斯地区,馆主,tier2,玛绣,,assets/npc/boss/玛绣-玛绣.webp,,,,gym:tier2:玛绣,1,卡洛斯地区|馆主|玛绣
gym:卡洛斯地区:葛吉花:7,gym,卡洛斯地区,馆主,tier3,葛吉花,,assets/npc/boss/葛吉花-葛吉花.webp,,,,gym:tier3:葛吉花,1,卡洛斯地区|馆主|葛吉花
gym:卡洛斯地区:得抚:8,gym,卡洛斯地区,馆主,tier3,得抚,,assets/npc/boss/得抚-得抚.webp,,,,gym:tier3:得抚,1,卡洛斯地区|馆主|得抚
elite4:卡洛斯地区:帕琦拉:1,elite4,卡洛斯地区,四天王,elite4,帕琦拉,,assets/npc/boss/帕琦拉-帕琦拉.webp,,,,elite4:elite4:帕琦拉,1,卡洛斯地区|四天王|帕琦拉
elite4:卡洛斯地区:志米:2,elite4,卡洛斯地区,四天王,elite4,志米,,assets/npc/boss/志米-志米.webp,,,,elite4:elite4:志米,1,卡洛斯地区|四天王|志米
elite4:卡洛斯地区:雁铠:3,elite4,卡洛斯地区,四天王,elite4,雁铠,,assets/npc/boss/雁铠-雁铠.webp,,,,elite4:elite4:雁铠,1,卡洛斯地区|四天王|雁铠
elite4:卡洛斯地区:朵拉塞娜:4,elite4,卡洛斯地区,四天王,elite4,朵拉塞娜,,assets/npc/boss/朵拉塞娜-朵拉塞娜.webp,,,,elite4:elite4:朵拉塞娜,1,卡洛斯地区|四天王|朵拉塞娜
champion:卡洛斯地区:卡露妮:1,champion,卡洛斯地区,冠军,champion,卡露妮,Diantha,assets/npc/boss/卡露妮-卡露妮.webp,,,assets/npc/avatars/卡露妮-卡露妮.webp,champion:champion:卡露妮,1,卡洛斯地区|冠军|Diantha|Karune|卡露妮|卡魯妮
elite4:阿罗拉地区:哈拉:1,elite4,阿罗拉地区,四天王,elite4,哈拉,,assets/npc/boss/哈拉-哈拉.webp,,,,elite4:elite4:哈拉,1,阿罗拉地区|四天王|哈拉
elite4:阿罗拉地区:丽姿:2,elite4,阿罗拉地区,四天王,elite4,丽姿,,assets/npc/boss/丽姿-丽姿.webp,,,,elite4:elite4:丽姿,1,阿罗拉地区|四天王|丽姿
elite4:阿罗拉地区:阿塞萝拉:3,elite4,阿罗拉地区,四天王,elite4,阿塞萝拉,,assets/npc/boss/阿塞萝拉-阿塞萝拉.webp,,,,elite4:elite4:阿塞萝拉,1,阿罗拉地区|四天王|阿塞萝拉
elite4:阿罗拉地区:卡希丽:4,elite4,阿罗拉地区,四天王,elite4,卡希丽,,assets/npc/boss/卡希丽-卡希丽.webp,,,,elite4:elite4:卡希丽,1,阿罗拉地区|四天王|卡希丽
elite4:阿罗拉地区:马睿因:5,elite4,阿罗拉地区,四天王,elite4,马睿因,,assets/npc/boss/马睿因-马睿因.webp,,,,elite4:elite4:马睿因,1,阿罗拉地区|四天王|马睿因
champion:阿罗拉地区:库库伊:1,champion,阿罗拉地区,冠军,champion,库库伊,Kukui,,,,assets/npc/avatars/库库伊-库库伊.webp,champion:champion:库库伊,1,阿罗拉地区|冠军|Kukui|库库伊|庫庫伊
gym:伽勒尔地区:亚洛:1,gym,伽勒尔地区,馆主,tier1,亚洛,,assets/npc/boss/亚洛-亚洛.webp,,,,gym:tier1:亚洛,1,伽勒尔地区|馆主|亚洛
gym:伽勒尔地区:露璃娜:2,gym,伽勒尔地区,馆主,tier1,露璃娜,,assets/npc/boss/露璃娜-露璃娜.webp,,,,gym:tier1:露璃娜,1,伽勒尔地区|馆主|露璃娜
gym:伽勒尔地区:卡芜:3,gym,伽勒尔地区,馆主,tier1,卡芜,,assets/npc/boss/卡芜-卡芜.webp,,,,gym:tier1:卡芜,1,伽勒尔地区|馆主|卡芜
gym:伽勒尔地区:彩豆:4,gym,伽勒尔地区,馆主,tier1,彩豆,,assets/npc/boss/彩豆-彩豆.webp,,,,gym:tier1:彩豆,1,伽勒尔地区|馆主|彩豆
